id,n_ccr
CA1700633,4
CA1700634,4
CA1700638,4
CA1700650,3
CA1700657,4
CA1700659,4
CA1700670,4
CA1700674,1
CA1700676,3
CA1700677,3
CA1700685,4
CA1700698,4
CA1700702,3
CA1700704,4
CA1700710,4
CA1700712,4
CA1700715,3
CA1700716,4
CA1700725,4
CA1700727,4
CA1700728,4
CA1700730,3
CA1700731,4
CA1700733,3
CA1700734,4
CA1700736,4
CA1700739,4
CA1710001,3
CA1710003,1
CA1710004,4
CA1710006,2
CA1710007,2
CA1710008,2
CA1710009,4
CA1710010,2
CA1710011,3
CA1710012,2
CA1710013,3
CA1710014,4
CA1710015,2
CA1710016,3
CA1710018,1
CA1710800,4
CA1800010,4
CA1800013,4
CA1800014,4
CA1800202,3
CA1800503,1
CA1800511,3
CA1800512,2
CA1800514,4
CA1800515,4
CA1800516,4
CA1800522,4
CA1800523,4
CA1800524,4
CA1800528,4
CA1800529,3
CA1800531,4
CA1800534,2
CA1800557,4
CA1800560,4
CA1800562,4
CA1800569,4
CA1800573,2
CA1800574,4
CA1800575,4
CA1800576,3
CA1800577,3
CA1800582,4
CA1800585,3
CA1800589,4
CA1800601,4
CA1800632,4
CA1800801,4
CA1805001,4
CA1805005,4
CA1805006,4
CA1810001,3
CA1810002,2
CA1810003,3
CA1810004,1
CA1810700,2
CA1810801,2
CA1900007,1
CA1900074,1
CA1900145,1
CA1900158,1
CA1900556,4
CA1900581,4
CA1900583,4
CA1900785,1
CA1900808,1
CA1900942,1
CA1900961,1
CA1910002,1
CA1910006,1
CA1910012,1
CA1910013,1
CA1910028,1
CA1910038,1
CA1910040,1
CA1910054,1
CA1910061,2
CA1910081,1
CA1910083,1
CA1910086,1
CA1910091,1
CA1910103,2
CA1910124,1
CA1910140,2
CA1910142,1
CA1910143,3
CA1910154,2
CA1910157,1
CA1910158,1
CA1910169,1
CA1910191,1
CA1910213,1
CA1910234,1
CA1910244,1
CA1910301,4
CA1910303,4
CA1910305,4
CA1910801,1
CA2000293,3
CA2000382,4
CA2000385,4
CA2000501,1
CA2000506,3
CA2000511,2
CA2000512,2
CA2000521,1
CA2000524,1
CA2000526,3
CA2000549,2
CA2000550,3
CA2000551,3
CA2000552,3
CA2000553,2
CA2000554,2
CA2000557,3
CA2000561,3
CA2000568,4
CA2000592,2
CA2000647,4
CA2000690,3
CA2000692,2
CA2000724,2
CA2000727,2
CA2000728,2
CA2000737,3
CA2000757,3
CA2000770,4
CA2000849,3
CA2000851,3
CA2000865,3
CA2000950,4
CA2010001,1
CA2010003,1
CA2010018,4
CA2010501,4
CA2100519,2
CA2100527,1
CA2100531,4
CA2100538,2
CA2100545,1
CA2100549,2
CA2100551,4
CA2100552,4
CA2100553,4
CA2100557,4
CA2100560,2
CA2100564,4
CA2100565,3
CA2100566,1
CA2100568,4
CA2100576,4
CA2100577,4
CA2100578,4
CA2100579,3
CA2100580,4
CA2100581,4
CA2100582,3
CA2100584,1
CA2100585,4
CA2100586,4
CA2100587,4
CA2110001,3
CA2110002,1
CA2110003,1
CA2110004,2
CA2110005,2
CA2110006,1
CA2110008,3
CA2110009,4
CA2110010,4
CA2110300,4
CA2110301,4
CA2110302,4
CA2110303,4
CA2110304,1
CA2110305,4
CA2110350,2
CA2110500,4
CA2110501,4
CA2110502,3
CA2110503,4
CA2201070,4
CA2202036,4
CA2202131,4
CA2203024,4
CA2204101,4
CA2207094,4
CA2208034,4
CA2208056,4
CA2210512,4
CA2210513,4
CA2210516,4
CA2210519,4
CA2210917,4
CA2210918,1
CA2210930,4
CA2210934,4
CA2210939,4
CA2210942,4
CA2210946,4
CA2300502,2
CA2300507,2
CA2300509,4
CA2300512,4
CA2300514,2
CA2300516,4
CA2300519,3
CA2300524,4
CA2300545,1
CA2300590,1
CA2300591,2
CA2300605,2
CA2300606,2
CA2300619,4
CA2300620,4
CA2300621,4
CA2300626,4
CA2300629,4
CA2300634,1
CA2300636,4
CA2300638,4
CA2300644,2
CA2300653,4
CA2300663,2
CA2300705,1
CA2300708,2
CA2300717,3
CA2300731,1
CA2300735,1
CA2300736,4
CA2300740,4
CA2300743,1
CA2300746,4
CA2300775,4
CA2300785,4
CA2300789,4
CA2300802,2
CA2300804,2
CA2300818,4
CA2300819,4
CA2300820,4
CA2300821,4
CA2300826,4
CA2300829,2
CA2300830,2
CA2300837,4
CA2300839,4
CA2300842,4
CA2300845,4
CA2300853,4
CA2300854,4
CA2300855,4
CA2300856,4
CA2300858,4
CA2300871,3
CA2300872,4
CA2300873,4
CA2300874,4
CA2300877,4
CA2300878,4
CA2300900,4
CA2300902,3
CA2300905,4
CA2300906,1
CA2300950,4
CA2300952,4
CA2300953,4
CA2300954,4
CA2300958,4
CA2300970,4
CA2301004,4
CA2310001,2
CA2310003,2
CA2310005,2
CA2310006,2
CA2310008,3
CA2310009,1
CA2310010,1
CA2310011,1
CA2310012,3
CA2310013,2
CA2310301,4
CA2310302,4
CA2310303,4
CA2310304,4
CA2310308,4
CA2310310,4
CA2310317,4
CA2310800,3
CA2310801,4
CA2400028,4
CA2400057,2
CA2400058,4
CA2400085,3
CA2400088,4
CA2400089,4
CA2400117,4
CA2400119,4
CA2400140,4
CA2400153,4
CA2400208,3
CA2400219,1
CA2400220,4
CA2400227,4
CA2400229,4
CA2400230,4
CA2400234,4
CA2400240,4
CA2400245,4
CA2400249,4
CA2400250,4
CA2400254,4
CA2400304,4
CA2400307,4
CA2400315,4
CA2400318,4
CA2400320,4
CA2400322,4
CA2400323,4
CA2400326,2
CA2400327,4
CA2400328,4
CA2400337,4
CA2400338,3
CA2400340,4
CA2400341,3
CA2410011,1
CA2410301,4
CA2410302,4
CA2500503,3
CA2500538,4
CA2500801,4
CA2500811,4
CA2500911,3
CA2510001,4
CA2510002,3
CA2510800,2
CA2600538,3
CA2600546,1
CA2600592,4
CA2600622,1
CA2600700,4
CA2600714,1
CA2600733,1
CA2610300,4
CA2700575,4
CA2700592,1
CA2700624,3
CA2700629,1
CA2700656,4
CA2700662,1
CA2700837,1
CA2700853,2
CA2700983,4
CA2700984,4
CA2700999,4
CA2701001,4
CA2701009,4
CA2701034,2
CA2701040,1
