"","pwsid","population_served_count_echo","service_connections_count_echo","pws_type_code_echo","gw_sw_code_echo","primary_source_code_echo","carceral_sys","count_of_viols_over5yrs_health","count_of_viols_over5yrs_mon","binary_viol_over5yrs_health","binary_viol_over5yrs_mon"
"1295","CA2000951",529,2,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1296","CA2000953",25,4,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1297","CA2000955",29,5,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1298","CA2000956",32,3,"NTNCWS","GW","GW","other_water_systems",0,2,0,1
"1299","CA2000961",35,3,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1300","CA2010001",13576,4185,"CWS","GW","GW","other_water_systems",0,0,0,0
"1301","CA2010002",65074,15112,"CWS","GW","GW","carceral_serving_water_system",0,0,0,0
"1302","CA2010003",4527,1013,"CWS","SW","SW","other_water_systems",0,0,0,0
"1303","CA2010004",1637,496,"CWS","GW","GW","other_water_systems",0,0,0,0
"1304","CA2010005",6448,1970,"CWS","GW","GW","other_water_systems",3,2,1,1
"1305","CA2010006",1789,542,"CWS","GW","GW","other_water_systems",0,0,0,0
"1306","CA2010007",3412,1034,"CWS","GW","GW","other_water_systems",0,0,0,0
"1307","CA2010008",3172,945,"CWS","GW","GW","other_water_systems",0,0,0,0
"1308","CA2010009",1107,344,"CWS","GW","GW","other_water_systems",0,0,0,0
"1309","CA2010010",6428,1950,"CWS","GW","GW","other_water_systems",0,0,0,0
"1310","CA2010011",1562,473,"CWS","GW","GW","other_water_systems",0,0,0,0
"1311","CA2010012",320,97,"CWS","GW","GW","other_water_systems",0,0,0,0
"1312","CA2010013",83,25,"CWS","GW","GW","other_water_systems",0,0,0,0
"1313","CA2010014",1026,311,"CWS","GW","GW","other_water_systems",0,0,0,0
"1314","CA2010015",303,10,"NTNCWS","SW","SW","other_water_systems",0,0,0,0
"1315","CA2010016",5507,1772,"CWS","GW","GW","other_water_systems",0,0,0,0
"1316","CA2010017",2640,853,"CWS","SW","SW","other_water_systems",0,0,0,0
"1317","CA2010018",600,243,"CWS","GW","GW","other_water_systems",0,0,0,0
"1318","CA2010800",2256,656,"CWS","GW","GW","carceral_water_system",0,0,0,0
"1319","CA2010801",3147,74,"CWS","GW","GW","carceral_water_system",0,0,0,0
"1320","CA2100508",336,162,"CWS","GW","GW","other_water_systems",0,0,0,0
"1321","CA2100519",206,145,"CWS","SW","SW","other_water_systems",1,0,1,0
"1322","CA2100527",143,5,"NTNCWS","SW","SW","other_water_systems",0,0,0,0
"1323","CA2100538",227,2,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1324","CA2100545",212,17,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1325","CA2100549",35,10,"CWS","GW","GW","other_water_systems",0,0,0,0
"1326","CA2100565",75,17,"CWS","SW","GU","other_water_systems",0,0,0,0
"1327","CA2100566",250,21,"NTNCWS","GW","GW","other_water_systems",0,8,0,1
"1328","CA2100579",31,14,"CWS","GW","GW","other_water_systems",1,1,1,1
"1329","CA2100582",40,5,"NTNCWS","SW","GU","other_water_systems",2,0,1,0
"1330","CA2100584",66,8,"NTNCWS","SW","SW","other_water_systems",0,0,0,0
"1331","CA2110001",1445,518,"CWS","SW","SW","other_water_systems",0,0,0,0
"1332","CA2110002",186895,62255,"CWS","SW","SW","carceral_serving_water_system",0,0,0,0
"1333","CA2110003",61683,20468,"CWS","SW","SW","other_water_systems",0,0,0,0
"1334","CA2110004",583,742,"CWS","SW","SW","other_water_systems",0,1,0,1
"1335","CA2110005",2483,587,"CWS","SW","SW","other_water_systems",0,0,0,0
"1336","CA2110006",1800,781,"CWS","GW","GW","other_water_systems",0,0,0,0
"1337","CA2110007",390,251,"CWS","SW","SW","other_water_systems",0,0,0,0
"1338","CA2110008",946,45,"CWS","GW","GW","other_water_systems",0,2,0,1
"1339","CA2110350",18447,227,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1340","CA2110502",1560,7,"CWS","GW","GW","other_water_systems",0,0,0,0
"1341","CA2204054",35,2,"NTNCWS","GW","GW","other_water_systems",0,1,0,1
"1342","CA2210001",2000,683,"CWS","SW","SW","carceral_serving_water_system",0,0,0,0
"1343","CA2210002",798,314,"CWS","GW","GW","other_water_systems",0,0,0,0
"1344","CA2210003",800,55,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1345","CA2210503",1000,235,"CWS","GW","GW","other_water_systems",0,0,0,0
"1346","CA2210510",150,141,"CWS","SW","SW","other_water_systems",0,0,0,0
"1347","CA2210515",635,226,"CWS","GW","GW","other_water_systems",0,0,0,0
"1348","CA2210851",60,9,"CWS","GW","GW","carceral_water_system",0,0,0,0
"1349","CA2210900",656,7,"CWS","GW","GW","other_water_systems",0,1,0,1
"1350","CA2210901",193,77,"CWS","GW","GW","other_water_systems",0,1,0,1
"1351","CA2210903",275,75,"CWS","GW","GW","other_water_systems",0,1,0,1
"1352","CA2210905",286,66,"CWS","SW","SW","other_water_systems",0,0,0,0
"1353","CA2210906",284,87,"CWS","GW","GW","other_water_systems",0,1,0,1
