id,n_ccr
CA2700998,4
CA2701034,2
CA2701040,3
CA2701046,4
CA2701063,1
CA2701068,3
CA2701151,4
CA2701153,4
CA2701172,4
CA2701187,4
CA2701202,4
CA2701214,4
CA2701221,4
CA2701231,4
CA2701241,4
CA2701254,4
CA2701257,4
CA2701263,4
CA2701278,4
CA2701279,4
CA2701280,4
CA2701295,4
CA2701297,3
CA2701310,1
CA2701355,4
CA2701364,4
CA2701367,4
CA2701403,4
CA2701423,4
CA2701452,4
CA2701498,4
CA2701503,4
CA2701515,4
CA2701550,4
CA2701553,4
CA2701570,4
CA2701589,3
CA2701633,4
CA2701647,4
CA2701658,2
CA2701659,4
CA2701670,4
CA2701676,4
CA2701683,4
CA2701687,3
CA2701701,3
CA2701705,4
CA2701726,4
CA2701731,4
CA2701740,4
CA2701742,4
CA2701789,4
CA2701800,4
CA2701820,3
CA2701822,4
CA2701837,4
CA2701876,4
CA2701888,4
CA2701897,4
CA2701898,4
CA2701904,4
CA2701906,4
CA2701918,4
CA2701926,4
CA2701931,4
CA2701935,4
CA2701940,4
CA2701946,4
CA2701956,4
CA2701959,4
CA2702003,4
CA2702004,4
CA2702007,4
CA2702009,4
CA2702026,4
CA2702030,4
CA2702050,4
CA2702055,4
CA2702073,4
CA2702094,4
CA2702110,4
CA2702135,4
CA2702140,4
CA2702148,4
CA2702163,4
CA2702165,1
CA2702172,4
CA2702180,4
CA2702198,4
CA2702256,4
CA2702259,4
CA2702268,4
CA2702293,4
CA2702296,3
CA2702299,4
CA2702315,4
CA2702320,4
CA2702323,3
CA2702325,4
CA2702327,4
CA2702328,4
CA2702336,4
CA2702368,4
CA2702374,4
CA2702388,4
CA2702405,4
CA2702409,4
CA2702412,4
CA2702431,4
CA2702439,4
CA2702456,4
CA2702466,3
CA2702482,2
CA2702487,3
CA2702490,4
CA2702495,2
CA2702496,3
CA2702520,4
CA2702521,4
CA2702539,4
CA2702550,4
CA2702554,4
CA2702571,4
CA2702584,4
CA2702588,4
CA2702607,2
CA2702608,4
CA2702609,1
CA2702613,4
CA2702615,4
CA2702620,4
CA2702641,1
CA2702816,4
CA2703132,3
CA2704520,3
CA2710001,4
CA2710004,4
CA2710005,4
CA2710006,4
CA2710007,4
CA2710008,4
CA2710009,4
CA2710010,4
CA2710011,4
CA2710012,4
CA2710013,4
CA2710016,4
CA2710017,4
CA2710018,4
CA2710019,4
CA2710020,4
CA2710021,4
CA2710022,4
CA2710023,4
CA2710300,4
CA2710702,4
CA2710705,4
CA2710850,4
CA2710851,4
CA2800023,2
CA2800035,4
CA2800039,4
CA2800040,4
CA2800516,4
CA2800521,1
CA2800526,4
CA2800527,4
CA2800528,4
CA2800530,2
CA2800532,4
CA2800543,4
CA2800625,2
CA2801016,3
CA2801080,4
CA2810001,3
CA2810002,1
CA2810004,2
CA2810005,1
CA2810007,2
CA2810012,2
CA2810013,3
CA2810302,1
CA2900502,2
CA2900530,2
CA2900531,1
CA2900562,1
CA2910001,3
CA2910002,2
CA2910003,1
CA2910004,2
CA2910006,2
CA2910010,1
CA2910011,4
CA2910013,3
CA2910014,2
CA2910016,2
CA2910023,2
CA3000519,4
CA3000585,4
CA3000618,4
CA3000734,4
CA3000825,3
CA3000980,4
CA3010001,4
CA3010002,4
CA3010003,4
CA3010004,4
CA3010008,4
CA3010010,4
CA3010017,4
CA3010018,4
CA3010022,4
CA3010023,4
CA3010027,4
CA3010030,4
CA3010035,4
CA3010036,3
CA3010037,4
CA3010038,4
CA3010041,4
CA3010042,4
CA3010046,4
CA3010047,4
CA3010053,4
CA3010062,4
CA3010064,3
CA3010068,4
CA3010069,4
CA3010073,4
CA3010079,4
CA3010082,4
CA3010092,4
CA3010094,3
CA3010097,4
CA3010100,4
CA3010101,4
CA3100014,1
CA3100029,2
CA3100038,1
CA3100041,1
CA3100528,1
CA3103310,1
CA3103836,2
CA3107339,2
CA3110001,1
CA3110003,1
CA3110004,2
CA3110005,4
CA3110006,4
CA3110008,4
CA3110010,2
CA3110011,3
CA3110012,1
CA3110013,2
CA3110015,1
CA3110017,3
CA3110018,1
CA3110019,1
CA3110020,2
CA3110022,3
CA3110023,1
CA3110024,4
CA3110025,3
CA3110026,3
CA3110029,1
CA3110031,1
CA3110034,1
CA3110035,1
CA3110036,3
CA3110040,4
CA3110041,4
CA3110042,1
CA3110043,2
CA3110044,2
CA3110047,1
CA3110048,3
CA3110049,1
CA3110050,4
CA3110124,4
CA3110150,4
CA3200102,2
CA3200104,2
CA3200107,2
CA3200114,3
CA3200127,2
CA3200134,1
CA3200510,2
CA3205001,4
CA3205003,2
CA3205006,1
CA3210001,2
CA3210003,2
CA3210004,2
CA3210005,2
CA3210006,3
CA3210010,2
CA3210011,1
CA3301011,1
CA3301018,4
CA3301028,4
CA3301031,2
CA3301040,3
CA3301045,2
CA3301055,4
CA3301107,4
CA3301114,3
CA3301115,4
CA3301169,3
CA3301171,4
CA3301180,3
CA3301209,4
CA3301226,4
CA3301267,4
CA3301280,2
CA3301283,4
CA3301294,4
CA3301330,2
CA3301355,4
CA3301381,4
CA3301428,2
CA3301482,4
CA3301491,3
CA3301502,3
CA3301511,4
CA3301512,3
CA3301528,4
CA3301529,1
CA3301534,4
CA3301535,2
CA3301541,4
CA3301577,3
CA3301588,4
CA3301630,2
CA3301676,4
CA3301682,3
CA3301717,3
CA3301775,3
CA3301800,4
CA3301863,4
CA3301879,4
CA3301943,3
CA3301990,4
CA3303003,4
CA3303035,4
CA3310001,4
CA3310002,3
CA3310003,2
CA3310004,4
CA3310005,4
CA3310006,4
CA3310007,4
CA3310008,4
CA3310009,4
CA3310012,4
CA3310016,4
CA3310017,3
CA3310018,3
CA3310019,1
CA3310020,4
CA3310021,4
CA3310022,4
CA3310025,4
CA3310026,4
CA3310028,4
CA3310030,2
CA3310031,4
CA3310032,3
CA3310033,4
CA3310036,4
CA3310037,4
CA3310038,4
CA3310040,4
CA3310044,4
CA3310046,4
CA3310047,4
CA3310048,4
CA3310049,4
CA3310051,4
CA3310052,4
CA3310074,4
CA3310076,4
CA3310078,4
CA3310080,4
CA3310081,4
CA3310800,4
CA3310801,3
CA3310802,4
CA3400101,4
CA3400106,4
CA3400107,4
CA3400128,2
CA3400135,1
CA3400139,4
CA3400149,2
CA3400156,4
CA3400173,4
CA3400180,4
CA3400229,4
CA3400232,3
CA3400331,3
CA3400342,4
CA3400364,4
CA3400433,1
CA3400473,4
CA3410001,4
CA3410002,4
CA3410003,4
CA3410004,3
CA3410005,2
CA3410006,1
CA3410007,3
CA3410008,3
CA3410009,2
CA3410010,4
CA3410011,2
CA3410012,4
CA3410013,4
CA3410014,3
CA3410015,4
CA3410017,4
CA3410018,3
CA3410020,3
