pwsid,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys,health_5yr_no2ndary_or_lsl_binary,mon_only_5yr_binary,health_5yr_count_no_2ndary_or_lsl,mon_only_5yr_count,CASDWIS_County,CASDWIS_SourceType,watersource,purchased,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population,Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies,SC3i_Count_Distribution,SC5e_Drought_Impact,Distributiondis_any,n_ccr_downloaded,n_ccr_missing
CA1010005,FIREBAUGH CITY,CWS,GW,GW,8096,1642,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,FIREBAUGH CITY,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,1642,8096,RESIDENTIAL AREA,1.92,1,2,0,1.23,--,At-Risk,Non-Failing,At-Risk,6,Y,N,N,0,3,0,1,4,0
CA1010006,CITY OF FOWLER,CWS,GW,GW,7100,2160,other_water_systems,1,1,5,2,FRESNO  ,GW,GW,Not purchased,CITY OF FOWLER,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,2160,7100,RESIDENTIAL AREA,0.5,1,2,0.33,0.96,--,At-Risk,Failing,Failing,6,Y,N,N,0,0,0,0,4,0
CA1010007,CITY OF FRESNO,CWS,SW,SW,545466,140150,carceral_serving_water_system,0,0,0,0,FRESNO  ,SW,SW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
CA1010013,"HUME LAKE CHRISTIAN CAMPS, INC",CWS,SW,SW,2427,388,other_water_systems,0,0,0,0,FRESNO  ,SW,SW,Not purchased,"HUME LAKE CHRISTIAN CAMPS, INC",FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,388,2427,RESIDENTIAL AREA,0,0.33,0.67,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,9,Y,N,N,0,0,0,0,4,0
CA1010017,FCWWD #41/SHAVER LAKE,CWS,GW,GW,2722,972,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,FCWWD #41/SHAVER LAKE,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,972,2722,RESIDENTIAL AREA,0,0,0,0.67,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,33,N/A,N,N,0,0,0,0,4,0
CA1010018,"KERMAN, CITY OF",CWS,GW,GW,16995,3992,other_water_systems,1,0,4,0,FRESNO  ,GW,GW,Not purchased,"KERMAN, CITY OF",FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,3992,16995,RESIDENTIAL AREA,2.38,1,0.67,0.17,1.06,--,At-Risk,Failing,Failing,6,Y,N,N,0,NA,NA,NA,4,0
CA1010019,"KINGSBURG, CITY OF",CWS,GW,GW,12380,4121,other_water_systems,0,1,0,1,FRESNO  ,GW,GW,Not purchased,"KINGSBURG, CITY OF",FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,4121,12380,RESIDENTIAL AREA,0,1,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,7,Y,N,N,0,NA,NA,NA,4,0
CA1010020,LATON COMMUNITY SERVICES DISTRICT,CWS,GW,GW,1551,473,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,LATON COMMUNITY SERVICES DISTRICT,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,473,1551,RESIDENTIAL AREA,0,1,0.67,0.83,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,3,Y,N,N,0,0,0,0,4,0
CA1010021,"MENDOTA, CITY OF",CWS,GW,GW,11404,2315,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,"MENDOTA, CITY OF",FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,2315,11404,RESIDENTIAL AREA,1.75,1,2,1,1.44,--,At-Risk,Non-Failing,At-Risk,4,Y,N,N,0,0,0,0,4,0
CA1010023,CITY OF ORANGE COVE,CWS,SW,SW,9525,1714,other_water_systems,0,0,0,0,FRESNO  ,SW,SW,Not purchased,CITY OF ORANGE COVE,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,1714,9525,RESIDENTIAL AREA,2.5,3,2,0,1.88,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0,0,1,0,4,0
CA1010024,CWS - SELMA,CWS,GW,GW,26456,6470,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,CWS - SELMA,FRESNO,DISTRICT 12 - VISALIA,COMMUNITY,6470,26456,RESIDENTIAL AREA,0,0.67,0.67,0,0.34,--,Not At-Risk,Non-Failing,Not At-Risk,10,N/A,N,N,0,NA,NA,NA,4,0
CA1010025,CITY OF PARLIER,CWS,GW,GW,14576,2688,other_water_systems,1,0,5,0,FRESNO  ,GW,GW,Not purchased,CITY OF PARLIER,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,2688,14576,RESIDENTIAL AREA,2.63,1,0.67,0,1.08,--,At-Risk,Failing,Failing,6,Y,N,N,0,0,0,0,4,0
CA1010026,PINEDALE COUNTY WATER DISTRICT,CWS,GW,GW,16736,2120,other_water_systems,0,1,0,1,FRESNO  ,GW,GW,Not purchased,PINEDALE COUNTY WATER DISTRICT,FRESNO,DISTRICT 12 - VISALIA,COMMUNITY,2120,16736,RESIDENTIAL AREA,0,1,0.33,0.17,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,5,Y,N,N,0,0,0,0,4,0
CA1010027,"REEDLEY, CITY OF",CWS,GW,GW,25227,6275,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,"REEDLEY, CITY OF",FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,6275,25227,RESIDENTIAL AREA,2,1,0.67,0.17,0.96,--,At-Risk,Non-Failing,At-Risk,7,Y,N,N,0,NA,NA,NA,4,0
CA1010028,RIVERDALE PUBLIC UTILITY DISTRICT,CWS,GW,GW,2756,928,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,RIVERDALE PUBLIC UTILITY DISTRICT,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,928,2756,RESIDENTIAL AREA,2.5,1.67,1,0,1.29,--,At-Risk,Non-Failing,At-Risk,4,Y,N,N,0,0,1,0,4,0
CA1010029,CITY OF SANGER,CWS,GW,GW,26241,7033,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,CITY OF SANGER,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,7033,26241,RESIDENTIAL AREA,0,0.67,0.67,0.33,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,10,N/A,N,N,0,NA,NA,NA,4,0
CA1010030,TRANQUILLITY IRRIGATION DISTRICT,CWS,GW,GW,807,340,other_water_systems,0,1,0,1,FRESNO  ,GW,GW,Not purchased,TRANQUILLITY IRRIGATION DISTRICT,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,340,807,RESIDENTIAL AREA,1.5,2.67,0,0,1.04,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,1,0,4,0
CA1010034,"SAN JOAQUIN, CITY OF",CWS,GW,GW,4060,749,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,"SAN JOAQUIN, CITY OF",FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,749,4060,RESIDENTIAL AREA,0,1,0.33,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,4,0
CA1010035,DEL REY COMMUNITY SERV DIST,CWS,GW,GW,1413,312,other_water_systems,1,0,5,0,FRESNO  ,GW,GW,Not purchased,DEL REY COMMUNITY SERV DIST,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,312,1413,RESIDENTIAL AREA,3.75,1,0.33,0,1.27,--,At-Risk,Failing,Failing,4,Y,N,N,0,0,0,0,4,0
CA1010039,CARUTHERS COMM SERV DIST,CWS,GW,GW,2613,752,other_water_systems,1,0,11,0,FRESNO  ,GW,GW,Not purchased,CARUTHERS COMM SERV DIST,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,752,2613,RESIDENTIAL AREA,2.5,1.17,0.33,0.67,1.17,--,At-Risk,Failing,Failing,2,Y,N,N,0,0,0,0,4,0
CA1010042,MALAGA COUNTY WATER DISTRICT,CWS,GW,GW,5979,468,other_water_systems,0,1,0,1,FRESNO  ,GW,GW,Not purchased,MALAGA COUNTY WATER DISTRICT,FRESNO,DISTRICT 12 - VISALIA,COMMUNITY,468,5979,RESIDENTIAL AREA,0,1,0.67,0.33,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,1,0,4,0
CA1010044,"HURON, CITY OF",CWS,SW,SW,9306,945,other_water_systems,1,0,7,0,FRESNO  ,SW,SW,Not purchased,"HURON, CITY OF",FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,945,9306,RESIDENTIAL AREA,0.75,1.33,1.42,1,1.13,--,At-Risk,Failing,Failing,1,Y,N,N,0,0,0,0,4,0
CA1010049,BIOLA COMMUNITY SERVICES DIST,CWS,GW,GW,1623,300,other_water_systems,0,1,0,1,FRESNO  ,GW,GW,Not purchased,BIOLA COMMUNITY SERVICES DIST,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,300,1623,RESIDENTIAL AREA,1,1,1.42,0,0.86,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1010051,FCWWD #18/FRIANT,CWS,SW,SW,772,251,other_water_systems,0,1,0,2,FRESNO  ,SW,SW,Not purchased,FCWWD #18/FRIANT,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,251,772,RESIDENTIAL AREA,0,3,0.75,1,1.19,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0,0,0,0,4,0
CA1010052,SIERRA CEDARS CSD,CWS,GW,GW,850,233,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,SIERRA CEDARS CSD,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,233,850,RESIDENTIAL AREA,0.25,0.33,0,0.67,0.31,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0,0,0,0,4,0
CA1010053,SHAVER LAKE HEIGHTS MWC,CWS,GW,GW,1230,220,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,SHAVER LAKE HEIGHTS MWC,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,220,1230,RESIDENTIAL AREA,0.25,0.33,0,0,0.15,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,4,0
CA1010055,FCSA #47/QUAIL LAKE ESTATES,CWS,GW,GW,1988,711,other_water_systems,0,1,0,1,FRESNO  ,GW,GW,Not purchased,FCSA #47/QUAIL LAKE ESTATES,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,711,1988,RESIDENTIAL AREA,0,1,0,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1010057,FRESNO CITY WASTEWATER PLANT,NTNCWS,GW,GW,190,13,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0
CA1010062,FCWWD #18/MIRA BELLA,CWS,GW,GW,274,51,other_water_systems,0,1,0,3,FRESNO  ,GW,GW,Not purchased,FCWWD #18/MIRA BELLA,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,51,274,RESIDENTIAL AREA,0.25,0.33,0,1.67,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,4,0
CA1010339,CALIFORNIA STATE UNIVERSITY FRESNO,CWS,GW,GW,41000,160,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,CALIFORNIA STATE UNIVERSITY FRESNO,FRESNO,DISTRICT 12 - VISALIA,COMMUNITY,160,41000,SCHOOL,0,0.67,0.67,1,0.59,--,Not At-Risk,Non-Failing,Not At-Risk,4,N,N,N,0,0,0,0,4,0
CA1010501,NPS-GRANT GROVE,CWS,GW,GW,2950,100,other_water_systems,0,0,0,0,FRESNO  ,GW,GW,Not purchased,NPS-GRANT GROVE,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,100,2950,RECREATION AREA,0,0.33,0.33,1,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1010800,CAL FIRE - MIRAMONTE CONSERVATION CAMP,CWS,GW,GW,52,9,carceral_water_system,0,1,0,2,FRESNO  ,GW,GW,Not purchased,CAL FIRE - MIRAMONTE CONSERVATION CAMP,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,9,52,INSTITUTION,0,0.5,0,1,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1100101,CARRIERE FAMILY FARMS,NTNCWS,GW,GW,37,1,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1100104,WILLOW CREEK CHRISTIAN SCHOOL,NTNCWS,GW,GW,49,2,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,WILLOW CREEK CHRISTIAN SCHOOL,GLENN,DISTRICT 21 - VALLEY,NON-TRANSIENT NON-COMMUNITY,2,49,SCHOOL,1.5,1.33,0,0,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA1100203,ARTOIS COMMUNITY S.D.,CWS,GW,GW,201,62,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,ARTOIS COMMUNITY S.D.,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,81,254,RESIDENTIAL AREA,1.5,0.33,0,0.33,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,1,0,1,3
CA1100232,JOHNS MANVILLE,NTNCWS,GW,GW,340,2,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1100237,WILLOWS MOBILE HOME COMMUNITY & RV PARK,CWS,GW,GW,261,87,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,WILLOWS MOBILE HOME COMMUNITY & RV PARK,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,87,261,MOBILE HOME PARK,1.75,1.33,2,0.83,1.48,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,1,0,1,1,3
CA1100254,VOYLES TRAILER PARK,CWS,GW,GW,27,15,other_water_systems,0,1,0,1,GLENN  ,GW,GW,Not purchased,VOYLES TRAILER PARK,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,30,27,RECREATION AREA,0,3,0.67,0.33,1,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0,0,0,0,3,1
CA1100404,DEL ORO WC - BLACK BUTTE DISTRICT,CWS,GW,GW,277,84,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,DEL ORO WC - BLACK BUTTE DISTRICT,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,84,277,RESIDENTIAL AREA,0,1.33,0.33,0.33,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,4,0
CA1100413,COUNTRY LEISURE MOBILE ESTATES,CWS,GW,GW,40,33,other_water_systems,0,1,0,3,GLENN  ,GW,GW,Not purchased,COUNTRY LEISURE MOBILE ESTATES,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,33,40,MOBILE HOME PARK,0,0.33,0,1,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,1,3
CA1100436,ORLAND OAKS MHP,CWS,GW,GW,186,83,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,ORLAND OAKS MHP,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,83,186,RESIDENTIAL AREA,0,1.33,0.33,1.33,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,1,0,1,1,3
CA1100440,LAKE ELEMENTARY SCHOOL,NTNCWS,GW,GW,205,1,other_water_systems,0,1,0,1,GLENN  ,GW,GW,Not purchased,LAKE ELEMENTARY SCHOOL,GLENN,DISTRICT 21 - VALLEY,NON-TRANSIENT NON-COMMUNITY,1,205,SCHOOL,0,1.5,0.33,0,0.46,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA1100444,ORLAND ESTATES MOBILE H.P.,CWS,GW,GW,244,74,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,ORLAND ESTATES MOBILE H.P.,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,74,244,MOBILE HOME PARK,0.25,0.33,0.33,0.67,0.4,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,2,2
CA1100445,ORLAND MOBILE H.P.,CWS,GW,GW,178,54,other_water_systems,0,1,0,2,GLENN  ,GW,GW,Not purchased,ORLAND MOBILE H.P.,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,54,178,RESIDENTIAL AREA,0,1.33,1,0,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,2,2
CA1100448,PLAZA ELEMENTARY SCHOOL,NTNCWS,GW,GW,250,4,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,PLAZA ELEMENTARY SCHOOL,GLENN,DISTRICT 21 - VALLEY,NON-TRANSIENT NON-COMMUNITY,4,250,SCHOOL,2.5,0.5,0.33,0,0.83,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0,NA,NA,NA,NA,NA
CA1100452,SHADY OAKS TRAILER PARK,CWS,GW,GW,62,43,other_water_systems,0,1,0,3,GLENN  ,GW,GW,Not purchased,THE PALISADES,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,43,62,RESIDENTIAL AREA,0,2,0.67,1,0.92,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA1100527,CAPAY JOINT UNION ELEM. SCHOOL,NTNCWS,GW,GW,230,1,other_water_systems,0,1,0,3,GLENN  ,GW,GW,Not purchased,CAPAY JOINT UNION ELEM. SCHOOL,GLENN,DISTRICT 21 - VALLEY,NON-TRANSIENT NON-COMMUNITY,1,230,SCHOOL,0,1.5,0.33,0,0.46,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA1100616,ELK CREEK COMMUNITY S.D.,CWS,SW,SW,212,92,other_water_systems,0,1,0,3,GLENN  ,SW,SW,Not purchased,ELK CREEK COMMUNITY S.D.,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,93,212,RESIDENTIAL AREA,0.25,3,0.67,1.5,1.36,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0,0,1,0,4,0
CA1100711,BUTTE CITY COMMUNITY S.D.,CWS,GW,GW,75,48,other_water_systems,1,1,8,3,GLENN  ,GW,GW,Not purchased,BUTTE CITY COMMUNITY S.D.,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,48,75,RESIDENTIAL AREA,1,1.33,0,0.5,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,0,0,0,1,3
CA1100749,RIVER VALLEY CHRISTIAN SCHOOL,NTNCWS,GW,GW,80,2,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,RIVER VALLEY CHRISTIAN SCHOOL,GLENN,DISTRICT 21 - VALLEY,NON-TRANSIENT NON-COMMUNITY,2,80,SCHOOL,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA1105003,"CITY OF ORLAND, HAIGH FIELD PARK",NTNCWS,GW,GW,30,2,other_water_systems,0,1,0,3,GLENN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1105005,OLIVAREZ HONEY BEES,NTNCWS,GW,GW,131,7,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1105006,CALIFORNIA OLIVE RANCH,NTNCWS,GW,GW,50,1,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1110001,CITY OF ORLAND,CWS,GW,GW,8217,2712,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,CITY OF ORLAND,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,2713,8298,RESIDENTIAL AREA,0,0.33,0.67,0.33,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,6,Y,N,N,0,0,1,0,2,2
CA1110002,CAL-WATER SERVICE CO.-HAMILTON CITY,CWS,GW,GW,1779,650,other_water_systems,0,0,0,0,GLENN  ,GW,GW,Not purchased,CAL-WATER SERVICE CO.-HAMILTON CITY,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,650,1799,RESIDENTIAL AREA,0,0.33,0.67,0.33,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,4,0
CA1110003,CAL-WATER SERVICE CO.-WILLOWS,CWS,GW,GW,7216,2378,carceral_serving_water_system,0,0,0,0,GLENN  ,GW,GW,Not purchased,CAL-WATER SERVICE CO.-WILLOWS,GLENN,DISTRICT 21 - VALLEY,COMMUNITY,2371,7240,RESIDENTIAL AREA,1.5,0.33,0.33,0.33,0.62,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,8,Y,N,N,0,51,0,1,4,0
CA1110800,CAL FIRE - VALLEY VIEW C.C,NTNCWS,GW,GW,140,1,carceral_serving_water_system,0,1,0,3,GLENN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1200501,ALDERPOINT COUNTY WATER,CWS,SW,SW,219,88,other_water_systems,0,1,0,3,HUMBOLDT  ,SW,SW,Not purchased,ALDERPOINT COUNTY WATER,HUMBOLDT,DISTRICT 01 - KLAMATH,COMMUNITY,88,219,RESIDENTIAL AREA,0,3,1.42,0.67,1.27,--,At-Risk,Non-Failing,At-Risk,1,Y,Y,N,0,0,0,0,0,4
CA1200518,RIVERSIDE CSD,CWS,GW,GW,333,101,other_water_systems,0,1,0,2,HUMBOLDT  ,GW,GW,Not purchased,RIVERSIDE CSD,HUMBOLDT,DISTRICT 01 - KLAMATH,COMMUNITY,101,333,RESIDENTIAL AREA,0,0.33,0.33,0.17,0.21,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,3,1
CA1200522,WHITETHORN ELEMENTARY SCHOOL,NTNCWS,SW,SW,42,1,other_water_systems,1,0,1,0,HUMBOLDT  ,SW,SW,Not purchased,WHITETHORN ELEMENTARY SCHOOL,HUMBOLDT,DISTRICT 01 - KLAMATH,NON-TRANSIENT NON-COMMUNITY,1,42,SCHOOL,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,0,4
CA1200538,MYERS FLAT M.W.S. INC.,CWS,GW,GW,330,93,other_water_systems,0,1,0,2,HUMBOLDT  ,GW,GW,Not purchased,MYERS FLAT M.W.S. INC.,HUMBOLDT,DISTRICT 01 - KLAMATH,COMMUNITY,93,330,RESIDENTIAL AREA,0.25,0.33,1.67,0.67,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0,0,0,0,1,3
CA1200541,PHILLIPSVILLE C.S.D.,CWS,GW,GW,300,80,other_water_systems,0,1,0,1,HUMBOLDT  ,GW,GW,Not purchased,PHILLIPSVILLE C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,COMMUNITY,80,300,RESIDENTIAL AREA,0.25,0.33,1.67,1,0.81,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0,4,0,1,1,3
CA1200544,REDCREST WATER WORKS,CWS,SW,SW,116,31,other_water_systems,0,1,0,3,HUMBOLDT  ,SW,SW,Not purchased,REDCREST WATER WORKS,HUMBOLDT,DISTRICT 01 - KLAMATH,COMMUNITY,31,116,RESIDENTIAL AREA,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,1,3
CA1200546,CASTERLIN SCHOOL,NTNCWS,GW,GW,50,1,other_water_systems,1,1,2,2,HUMBOLDT  ,GW,GW,Not purchased,CASTERLIN SCHOOL,HUMBOLDT,DISTRICT 01 - KLAMATH,NON-TRANSIENT NON-COMMUNITY,1,50,SCHOOL,0,1.33,0.67,1,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,0,0,0,0,4
CA1200547,MILL CREEK M.W.C.,CWS,GW,GW,85,36,other_water_systems,0,1,0,1,HUMBOLDT  ,GW,GW,Not purchased,MILL CREEK M.W.C.,HUMBOLDT,DISTRICT 01 - KLAMATH,COMMUNITY,36,85,RESIDENTIAL AREA,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,0,4
CA1200553,WEOTT C.S.D.,CWS,SW,SW,456,135,other_water_systems,0,1,0,7,HUMBOLDT  ,SW,SW,Not purchased,WEOTT C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,COMMUNITY,135,456,RESIDENTIAL AREA,0.5,3,1.67,0.83,1.5,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0,0,0,0,3,1
CA1200566,ORLEANS MUTUAL WATER COMPANY,CWS,SW,SW,85,38,other_water_systems,0,0,0,0,HUMBOLDT  ,SW,SW,Not purchased,ORLEANS MUTUAL WATER COMPANY,HUMBOLDT,DISTRICT 01 - KLAMATH,COMMUNITY,38,85,RESIDENTIAL AREA,0.5,1.5,0,0.67,0.67,--,Potentially At-Risk,Failing,Failing,1,Y,N,N,0,0,0,0,3,1
CA1200579,M.F. MITCHELL & COMPANY,NTNCWS,GW,GW,25,17,other_water_systems,0,1,0,3,HUMBOLDT  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,3
CA1200587,BRICELAND C.S.D.,CWS,SW,SW,75,26,other_water_systems,0,1,0,4,HUMBOLDT  ,SW,SW,Not purchased,BRICELAND C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,COMMUNITY,26,75,RESIDENTIAL AREA,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,0,4
