"","SABL_PWSID","NN.x","NN_distance_meters.x","NN_distance_miles_largeurban","Remote_largeurban","NN.y","NN_distance_meters.y","NN_distance_miles","Remote"
"188","CA4100529",34,8889.52801208754,5.52371034839595,"Yes",119,8889.52801208754,5.52371034839595,"Yes"
"189","CA1010501",52,44120.389477436,27.4152071516497,"Yes",90,32220.606481992,20.0210064262319,"Yes"
"190","CA4300948",34,314.312942843601,0.195305493459182,"No",119,314.312942843601,0.195305493459182,"No"
"191","CA2400201",21,35965.571249371,22.3480254323953,"Yes",74,5151.61043222409,3.20107027242477,"No"
"192","CA4500008",28,17924.927195217,11.1380610655405,"Yes",106,17924.927195217,11.1380610655405,"Yes"
"193","CA0910002",29,50977.9371515603,31.6763003166269,"Yes",136,0,0,"No"
"194","CA1805004",29,95864.0112100296,59.5672829918039,"Yes",138,6625.51040310233,4.11691153087746,"No"
"195","CA3500801",31,26572.2754478429,16.5112875140386,"Yes",59,6441.16595525915,4.00236491683494,"No"
"196","CA1510302",3,9036.29412061855,5.6149068069013,"Yes",7,9036.29412061855,5.6149068069013,"Yes"
"197","CA1510028",24,42258.40190618,26.2582188388905,"Yes",139,34391.0342223552,21.369651050962,"Yes"
"198","CA0900212",30,9194.52260055142,5.71322567049313,"Yes",100,6131.28030521597,3.80981042241911,"No"
"199","CA1300627",56,8009.80644978474,4.97707535373802,"No",166,8009.80644978474,4.97707535373802,"No"
"200","CA1400036",27,104836.651411462,65.1426369887421,"Yes",109,91481.3552698341,56.8440200764501,"Yes"
"201","CA1510025",3,31970.0557282508,19.86532101871,"Yes",140,11471.1488557765,7.12785915703112,"Yes"
"202","CA2000593",11,45161.9814432203,28.0624240019016,"Yes",47,45161.9814432203,28.0624240019016,"Yes"
"203","CA0400169",55,11444.3213265965,7.11118926180704,"Yes",53,1330.32302955713,0.826626461504179,"No"
"204","CA3110041",30,18171.7218738163,11.2914125503724,"Yes",5,5530.75263376304,3.43665889977447,"No"
"205","CA3610016",59,7460.11722682436,4.63551345696022,"No",185,7460.11722682436,4.63551345696022,"No"
"206","CA4900603",40,425.48412871639,0.264384237461562,"No",126,425.48412871639,0.264384237461562,"No"
"207","CA2810004",40,10739.3303530674,6.67312709127182,"Yes",114,0,0,"No"
"208","CA0800627",28,164795.532160271,102.399450806089,"Yes",27,24145.2307435222,15.0031881041435,"Yes"
"209","CA0400003",5,6963.69888011493,4.32705263034221,"No",77,5857.83522185568,3.63989910264809,"No"
"210","CA1400026",11,115479.292895682,71.7556842529742,"Yes",10,6836.11879736908,4.24777784518441,"No"
"211","CA3301115",15,34737.8411893988,21.5851474451631,"Yes",80,32063.3623483415,19.9232992085833,"Yes"
"212","CA1900542",37,11262.893221473,6.99845478362126,"Yes",122,11262.893221473,6.99845478362126,"Yes"
"213","CA2701951",41,10481.8269228115,6.51312148011703,"Yes",127,10481.8269228115,6.51312148011703,"Yes"
"214","CA0310021",17,23737.7121865843,14.7499671831834,"Yes",104,14386.2834918294,8.93924434353796,"Yes"
"215","CA1510701",25,23716.602142263,14.7368499771726,"Yes",111,19264.7739346765,11.9706053007298,"Yes"
"216","CA3400107",1,7516.04996486119,4.67026853546248,"No",1,7516.04996486119,4.67026853546248,"No"
"217","CA4900934",40,2360.16002143018,1.46653909144754,"No",167,0,0,"No"
"218","CA4901275",26,9713.69718445786,6.0358266024941,"Yes",134,1775.52107801354,1.10326039122469,"No"
