id,n_ccr_downloaded,n_ccr_missing
CA5100136,3,1
CA5100138,4,0
CA5100140,2,2
CA5100141,4,0
CA5100142,4,0
CA5100143,2,2
CA5100153,4,0
CA5100172,4,0
CA5102009,2,2
CA5102032,4,0
CA5103015,3,1
CA5105011,4,0
CA5105013,3,1
CA5105014,3,1
CA5200006,1,3
CA5200511,2,2
CA5200513,2,2
CA5200524,4,0
CA5200529,1,3
CA5200541,2,2
CA5200626,1,3
CA5200655,2,2
CA5200802,1,3
CA5201057,1,3
CA5205006,3,1
CA5205007,1,3
CA5205009,1,3
CA5210800,4,0
CA5210801,3,1
CA5400541,4,0
CA5400704,3,1
CA5400713,4,0
CA5400714,4,0
CA5400838,3,1
CA5400850,3,1
CA5400882,4,0
CA5400887,4,0
CA5400969,4,0
CA5400972,4,0
CA5401033,4,0
CA5402013,4,0
CA5402050,4,0
CA5403031,3,1
CA5403032,4,0
CA5403055,4,0
CA5403080,4,0
CA5403081,4,0
CA5403127,4,0
CA5403131,3,1
CA5403139,4,0
CA5403140,4,0
CA5403141,4,0
CA5403145,3,1
CA5403146,4,0
CA5403148,4,0
CA5403152,4,0
CA5403205,4,0
CA5500221,3,1
CA5500259,4,0
CA5601135,3,1
CA5601139,3,1
CA5601405,3,1
CA5601721,3,1
CA5602133,1,3
CA5602302,3,1
CA5602403,4,0
CA5602407,3,1
CA5602513,4,0
CA5602514,4,0
CA5602516,4,0
CA5602656,4,0
CA5603116,3,1
CA5603117,4,0
CA5603118,3,1
CA5603122,3,1
CA5610046,4,0
CA5610050,3,1
CA5700508,2,2
CA5700509,1,3
CA5700514,4,0
CA5700523,2,2
CA5700537,4,0
CA5700539,3,1
CA5700542,4,0
CA5700552,3,1
CA5700617,4,0
CA5700652,4,0
CA5700702,2,2
CA5700714,2,2
CA5700730,4,0
CA5700748,4,0
CA5700754,4,0
CA5700758,1,3
CA5700761,4,0
CA5700764,4,0
CA5700773,3,1
CA5700778,2,2
CA5700784,1,3
CA5700785,4,0
CA5700795,3,1
CA5700798,4,0
CA5700816,1,3
CA5700827,4,0
CA5710013,4,0
CA5800809,1,3
CA5800919,1,3
CA0110018,0,4
CA0300055,0,4
CA0400140,0,4
CA0409189,0,4
CA0500009,0,4
CA0500097,0,4
CA0706050,0,4
CA1000673,0,4
CA1100749,0,4
CA1410002,0,4
CA1410003,0,4
CA1410004,0,4
CA1410510,0,4
CA1504012,0,4
CA1805011,0,4
CA1909648,0,4
CA1910087,0,4
CA2300907,0,4
CA2301010,0,4
CA2400076,0,4
CA2500513,0,4
CA2801007,0,4
CA2801073,0,4
CA2810008,0,4
CA2900330,0,4
CA2900532,0,4
CA2900563,0,4
CA2900578,0,4
CA2900601,0,4
CA3100072,0,4
CA3103291,0,4
CA3107310,0,4
CA3107342,0,4
CA3200111,0,4
CA3205005,0,4
CA3301186,0,4
CA3310075,0,4
CA3310083,0,4
CA3400240,0,4
CA3400267,0,4
CA3400268,0,4
CA3400271,0,4
CA3400358,0,4
CA3400394,0,4
CA3400402,0,4
CA3400416,0,4
CA3400425,0,4
CA3400429,0,4
CA3400452,0,4
CA3400456,0,4
CA3510007,0,4
CA3600062,0,4
CA3700044,0,4
CA3710045,0,4
CA3810008,0,4
CA3900798,0,4
CA3901080,0,4
CA3901086,0,4
CA3901258,0,4
CA3901282,0,4
CA3901306,0,4
CA3901354,0,4
CA3901424,0,4
CA3901466,0,4
CA3901486,0,4
CA3902212,0,4
CA3910006,0,4
CA4000216,0,4
CA4000590,0,4
CA4000598,0,4
CA4000623,0,4
CA4000671,0,4
CA4000684,0,4
CA4000752,0,4
CA4000780,0,4
CA4000856,0,4
CA4200879,0,4
CA4200983,0,4
CA4210028,0,4
CA4310027,0,4
CA4500274,0,4
CA4500333,0,4
CA4800820,0,4
CA4810015,0,4
CA4901335,0,4
CA4901471,0,4
CA4901475,0,4
CA4910020,0,4
CA5000603,0,4
CA5010038,0,4
CA5200015,0,4
CA5200506,0,4
CA5200507,0,4
CA5200518,0,4
CA5200519,0,4
CA5200520,0,4
CA5200525,0,4
CA5200540,0,4
CA5200544,0,4
CA5200565,0,4
CA5200809,0,4
CA5201055,0,4
CA5201143,0,4
CA5700768,0,4
CA5700804,0,4
CA5710012,0,4
CA5800006,0,4
CA5800800,0,4
CA5800810,0,4
CA5800840,0,4
CA5800843,0,4
CA5800844,0,4
CA5800845,0,4
CA5800847,0,4
CA5800899,0,4
CA5800909,0,4
CA5800913,0,4
CA5800915,0,4
