pwsid,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys,health_5yr_no2ndary_or_lsl_binary,health_5yr_count_no_2ndary_or_lsl,mon_only_5yr_binary,mon_only_5yr_count,mr_5yr_count,mr_5yr_binary,CASDWIS_County,CASDWIS_SourceType,watersource,purchased,HR_NAME,System_Name,County,Regulating_Agency,Water_Quality_Risk_Level_Display,Accessability_Risk_Level_Display,Affordability_Risk_Level_Display,TMF_Capacity_Risk_Level_Display,POPULATION,SAFER_STATUS,Distinct count of PWSID,Funding Since 2017,SC3i_Count_Distribution,SC5e_Drought_Impact,Distributiondis_any,n_ccr_downloaded,n_ccr_missing,CCR_pulled
CA1900904,ACTON CONSERVATION CAMP #11,NTNCWS,SW,GU,90,1,carceral_water_system,0,0,1,2,2,1,LOS ANGELES  ,GU,GW,Not purchased,NA,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,NA,NA,NA,4,0,Yes
CA1900907,SHERWOOD MOBILE HOME PARK,CWS,GW,GW,540,185,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Lahontan,SHERWOOD MOBILE HOME PARK,LOS ANGELES,DISTRICT 16 - CENTRAL,Low to no risk,Low to no risk,Medium Risk,Low to no risk,540,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA1900913,LILY OF THE VALLEY MOBILE VILLAGE,CWS,GW,GW,552,182,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,LILY OF THE VALLEY MOBILE VILLAGE,LOS ANGELES,DISTRICT 22 - ANGELES,Low to no risk,High to medium risk,No Risk,Low to no risk,657,Not At-Risk,1,"$2,742,601",0,0,0,4,0,Yes
CA1900929,MIRA LOMA HIGH DESERT HOSPITAL,NTNCWS,GW,GW,500,57,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,NA,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,NA,NA,NA,4,0,Yes
CA1900936,AQUA J. MUTUAL WATER COMPANY,CWS,GW,GW,158,49,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Lahontan,AQUA J. MUTUAL WATER COMPANY,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Low to no risk,High to medium risk,Low Risk,Low to no risk,158,Not At-Risk,1,$0,1,0,1,4,0,Yes
CA1900942,ALPINE SPRINGS MOBILE HOME PARK,CWS,GW,GW,175,53,other_water_systems,0,0,1,1,2,1,LOS ANGELES  ,GW,GW,Not purchased,South Lahontan,ALPINE SPRINGS MOBILE HOME PARK,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low to no risk,High to medium risk,No Risk,Low to no risk,175,Failing,1,"$128,125",0,1,0,3,1,Yes
CA1900961,WINTERHAVEN MOBILE ESTATES,CWS,GW,GW,56,20,other_water_systems,1,13,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Lahontan,WINTERHAVEN MOBILE ESTATES,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High to medium risk,High to medium risk,Low Risk,High to medium risk,56,Failing,1,$0,0,0,0,3,1,Yes
CA1900975,CALI LAKE RV RESORT,CWS,GW,GW,99,47,other_water_systems,1,2,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,CALI LAKE RV RESORT,LOS ANGELES,DISTRICT 22 - ANGELES,Low to no risk,High to medium risk,No Risk,High to medium risk,99,At-Risk,1,$0,0,0,0,4,0,Yes
CA1901000,GENERAL ATOMICS AERONAUTICAL - GRAY BUTT,NTNCWS,GW,GW,450,24,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,NA,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,NA,NA,NA,3,1,Yes
CA1907011,FLYING J TRAVEL CENTER,NTNCWS,GW,GW,2565,2,other_water_systems,1,1,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,NA,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,NA,NA,NA,4,0,Yes
CA1907014,NORTH TRAILS MUTUAL WATER COMPANY,CWS,GW,GW,100,49,other_water_systems,1,3,0,0,1,1,LOS ANGELES  ,GW,GW,Not purchased,South Coast,NORTH TRAILS MUTUAL WATER COMPANY,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High to medium risk,High to medium risk,No Risk,Low to no risk,100,Failing,1,$0,0,0,0,4,0,Yes
CA1907028,SPV WATER COMPANY,CWS,GW,GW,211,73,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,SPV WATER COMPANY,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Low to no risk,High to medium risk,High Risk,Low to no risk,211,At-Risk,1,$0,0,0,0,4,0,Yes
CA1909006,WEST VALLEY COUNTY WATER DISTRICT,CWS,GW,GW,798,242,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Lahontan,WEST VALLEY COUNTY WATER DISTRICT,LOS ANGELES,DISTRICT 22 - ANGELES,High to medium risk,Low to no risk,High Risk,Low to no risk,798,At-Risk,1,$0,0,0,0,4,0,Yes
CA1909627,USFS-VALYERMO RANGER STATION,NTNCWS,GW,GW,25,1,other_water_systems,0,0,1,1,1,1,LOS ANGELES  ,GW,GW,Not purchased,NA,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,NA,NA,NA,4,0,Yes
CA1909648,PLANT WATER WELL - ROCKVIEW DAIRY,NTNCWS,GW,GW,45,1,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,NA,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,NA,NA,NA,0,4,Yes
CA1910001,CITY OF ALHAMBRA,CWS,SW,SWP,83750,18965,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,CITY OF ALHAMBRA,LOS ANGELES,DISTRICT 16 - CENTRAL,High to medium risk,Low to no risk,Low Risk,Low to no risk,79776,At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910002,AMARILLO MUTUAL WATER COMPANY,CWS,GW,GW,3134,625,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,AMARILLO MUTUAL WATER COMPANY,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High to medium risk,Low to no risk,Medium Risk,Low to no risk,3134,At-Risk,1,$0,0,0,0,3,1,Yes
CA1910003,CITY OF ARCADIA,CWS,GW,GW,45764,15218,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,CITY OF ARCADIA,LOS ANGELES,DISTRICT 22 - ANGELES,High to medium risk,Low to no risk,No Risk,Low to no risk,51361,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910004,GSWC - ARTESIA,CWS,GW,GW,50355,10778,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,GSWC - ARTESIA,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Low to no risk,Low to no risk,Low Risk,Low to no risk,50375,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910005,"LOS ANGELES CWWD 40, REG. 38-LAKE LA",CWS,SW,SWP,12620,3665,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Lahontan,"LOS ANGELES CWWD 40, REG. 38-LAKE LA",LOS ANGELES,DISTRICT 16 - CENTRAL,Low to no risk,Low to no risk,Low Risk,Low to no risk,12568,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910006,SO. CAL. EDISON CO.-SANTA CATALINA,CWS,SW,SW,3822,1999,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SW,SW,Not purchased,NA,SO. CAL. EDISON CO.-SANTA CATALINA,LOS ANGELES,DISTRICT 16 - CENTRAL,Low to no risk,Low to no risk,High Risk,Low to no risk,3822,Potentially At-Risk,1,$0,0,0,0,3,1,Yes
CA1910007,AZUSA LIGHT AND WATER,CWS,SW,SW,110044,23379,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,SW,SW,Not purchased,South Coast,AZUSA LIGHT AND WATER,LOS ANGELES,DISTRICT 16 - CENTRAL,Not Assessed,Not Assessed,Not Assessed,Not Assessed,110044,Not Assessed,1,$0,NA,NA,NA,4,0,Yes
CA1910009,VALLEY COUNTY WATER DIST.,CWS,GW,GW,68871,12648,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,VALLEY COUNTY WATER DIST.,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High to medium risk,Low to no risk,Low Risk,Low to no risk,68871,At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910010,CALIFORNIA WATER SERVICE CO.-LANCASTER,CWS,SW,SWP,1435,674,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Lahontan,CALIFORNIA WATER SERVICE CO.-LANCASTER,LOS ANGELES,DISTRICT 22 - ANGELES,High to medium risk,Low to no risk,No Risk,Low to no risk,1387,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA1910011,"GSWC - BELL, BELL GARDENS",CWS,SW,SWP,54696,7448,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,"GSWC - BELL, BELL GARDENS",LOS ANGELES,DISTRICT 15 - METROPOLITAN,High to medium risk,Low to no risk,Medium Risk,Low to no risk,54877,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,CWS,SW,SWP,1129,342,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,BELLFLOWER HOME GARDEN WATER COMPANY,LOS ANGELES,DISTRICT 16 - CENTRAL,Low to no risk,High to medium risk,Medium Risk,Low to no risk,1129,Not At-Risk,1,$0,0,0,0,3,1,Yes
CA1910013,BELLFLOWER - SOMERSET MWC,CWS,SW,SWP,46300,6996,other_water_systems,0,0,1,2,2,1,LOS ANGELES  ,SWP,SW,Purchased,South Coast,BELLFLOWER - SOMERSET MWC,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High to medium risk,Low to no risk,Medium Risk,Low to no risk,46300,Not At-Risk,1,$0,NA,NA,NA,3,1,Yes
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,CWS,SW,SWP,5999,1817,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,BELLFLOWER MUNICIPAL WATER SYSTEM,LOS ANGELES,DISTRICT 16 - CENTRAL,Low to no risk,Low to no risk,No Risk,Low to no risk,5999,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA1910019,"CERRITOS - CITY, WATER DEPT.",CWS,SW,SWP,47475,15664,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,"CERRITOS - CITY, WATER DEPT.",LOS ANGELES,DISTRICT 16 - CENTRAL,Low to no risk,Low to no risk,No Risk,Low to no risk,47475,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910020,CAL-AM WATER COMPANY - EAST PASADENA,CWS,GW,GW,9949,2984,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,CAL-AM WATER COMPANY - EAST PASADENA,LOS ANGELES,DISTRICT 22 - ANGELES,High to medium risk,High to medium risk,Low Risk,Low to no risk,9949,Failing,1,$0,0,0,0,4,0,Yes
CA1910021,LIBERTY UTILITIES - COMPTON,CWS,SW,SWP,26067,6929,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,LIBERTY UTILITIES - COMPTON,LOS ANGELES,DISTRICT 22 - ANGELES,Low to no risk,Low to no risk,Low Risk,High to medium risk,26371,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910022,CALIF STATE POLYTECHNICAL UNIV - POMONA,CWS,SW,SW,29271,148,other_water_systems,1,1,0,0,1,1,LOS ANGELES  ,SW,SW,Not purchased,South Coast,CALIF STATE POLYTECHNICAL UNIV - POMONA,LOS ANGELES,DISTRICT 22 - ANGELES,High to medium risk,Low to no risk,No Risk,Low to no risk,29854,At-Risk,1,$0,0,0,0,4,0,Yes
CA1910023,AVERYDALE MWC,CWS,GW,GW,1003,306,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Lahontan,AVERYDALE MWC,LOS ANGELES,DISTRICT 16 - CENTRAL,High to medium risk,Low to no risk,High Risk,Low to no risk,1023,At-Risk,1,$0,0,0,0,4,0,Yes
CA1910024,GSWC - CLAREMONT,CWS,SW,SWP,39566,11259,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,GSWC - CLAREMONT,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High to medium risk,Low to no risk,No Risk,Low to no risk,39730,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910025,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",CWS,SW,SWP,870,368,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Lahontan,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",LOS ANGELES,DISTRICT 16 - CENTRAL,Low to no risk,Low to no risk,Low Risk,Low to no risk,994,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA1910026,"COMPTON-CITY, WATER DEPT.",CWS,SW,SWP,74877,14365,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,"COMPTON-CITY, WATER DEPT.",LOS ANGELES,DISTRICT 22 - ANGELES,Low to no risk,Low to no risk,Medium Risk,Low to no risk,74877,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910027,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",CWS,GW,GW,619,243,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Lahontan,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",LOS ANGELES,DISTRICT 16 - CENTRAL,High to medium risk,Low to no risk,Low Risk,Low to no risk,612,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA1910028,CRESCENTA VALLEY CWD,CWS,SW,SWP,35841,8429,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,CRESCENTA VALLEY CWD,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High to medium risk,Low to no risk,No Risk,Low to no risk,35841,Potentially At-Risk,1,$0,NA,NA,NA,3,1,Yes
CA1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS,CWS,GW,GW,6125,1856,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,CITY OF INDUSTRY WATERWORKS SYSTEMS,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low to no risk,Low to no risk,No Risk,Low to no risk,6158,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA1910030,GSWC - CULVER CITY,CWS,SW,SWP,38025,9331,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,GSWC - CULVER CITY,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Low to no risk,Low to no risk,No Risk,Low to no risk,38213,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910032,FOOTHILL MUNICIPAL WATER DIST.,CWS,SW,SWP,0,7,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,NA,FOOTHILL MUNICIPAL WATER DIST.,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0,NA,NA,NA,4,0,Yes
CA1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,CWS,SW,SWP,143632,33147,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,LOS ANGELES,DISTRICT 22 - ANGELES,Not Assessed,Not Assessed,Not Assessed,Not Assessed,143996,Not Assessed,1,$0,NA,NA,NA,4,0,Yes
CA1910034,"DOWNEY - CITY, WATER DEPT.",CWS,GW,GW,109934,23478,carceral_serving_water_system,0,0,1,2,2,1,LOS ANGELES  ,GW,GW,Not purchased,South Coast,"DOWNEY - CITY, WATER DEPT.",LOS ANGELES,DISTRICT 16 - CENTRAL,Not Assessed,Not Assessed,Not Assessed,Not Assessed,108816,Not Assessed,1,$0,NA,NA,NA,4,0,Yes
CA1910035,KINNELOA IRRIGATION DIST.,CWS,GW,GW,1953,592,other_water_systems,0,0,1,3,4,1,LOS ANGELES  ,GW,GW,Not purchased,South Coast,KINNELOA IRRIGATION DIST.,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High to medium risk,Low to no risk,No Risk,High to medium risk,1960,Potentially At-Risk,1,$0,0,0,0,4,0,Yes
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,CWS,SW,SWP,152217,26227,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,CALIFORNIA WATER SERVICE CO. - ELA,LOS ANGELES,DISTRICT 22 - ANGELES,Not Assessed,Not Assessed,Not Assessed,Not Assessed,152474,Not Assessed,1,$0,NA,NA,NA,4,0,Yes
CA1910038,"EL MONTE-CITY, WATER DEPT.",CWS,GW,GW,22968,3516,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,"EL MONTE-CITY, WATER DEPT.",LOS ANGELES,DISTRICT 16 - CENTRAL,High to medium risk,Low to no risk,Medium Risk,Low to no risk,22968,At-Risk,1,$0,NA,NA,NA,3,1,Yes
CA1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,CWS,GW,GW,246000,46608,other_water_systems,0,0,1,1,1,1,LOS ANGELES  ,GW,GW,Not purchased,South Coast,SAN GABRIEL VALLEY WATER CO.-EL MONTE,LOS ANGELES,DISTRICT 22 - ANGELES,Not Assessed,Not Assessed,Not Assessed,Not Assessed,248000,Not Assessed,1,$0,NA,NA,NA,4,0,Yes
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",CWS,SW,SWP,16898,6228,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,"EL SEGUNDO-CITY, WATER DEPT.",LOS ANGELES,DISTRICT 15 - METROPOLITAN,Low to no risk,High to medium risk,No Risk,Low to no risk,16445,At-Risk,1,$0,NA,NA,NA,3,1,Yes
CA1910041,THREE VALLEYS MWD,CWS,SW,SW,0,15,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SW,SW,Not purchased,NA,THREE VALLEYS MWD,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0,NA,NA,NA,4,0,Yes
CA1910042,"PICO RIVERA - CITY, WATER DEPT.",CWS,GW,GW,40600,9474,other_water_systems,0,0,1,4,4,1,LOS ANGELES  ,GW,GW,Not purchased,South Coast,"PICO RIVERA - CITY, WATER DEPT.",LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High to medium risk,Low to no risk,Low Risk,Low to no risk,40600,Potentially At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910043,"GLENDALE-CITY, WATER DEPT.",CWS,SW,SWP,188784,36011,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,"GLENDALE-CITY, WATER DEPT.",LOS ANGELES,DISTRICT 15 - METROPOLITAN,Not Assessed,Not Assessed,Not Assessed,Not Assessed,188784,Not Assessed,1,$0,NA,NA,NA,4,0,Yes
CA1910044,"GLENDORA-CITY, WATER DEPT.",CWS,SW,SWP,52558,14053,carceral_serving_water_system,0,0,1,1,1,1,LOS ANGELES  ,SWP,SW,Purchased,South Coast,"GLENDORA-CITY, WATER DEPT.",LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low to no risk,Low to no risk,No Risk,Low to no risk,49934,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910045,ANTELOPE VALLEY EAST KERN WATER AGENCY,CWS,SW,SW,0,49,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SW,SW,Not purchased,NA,ANTELOPE VALLEY EAST KERN WATER AGENCY,LOS ANGELES,DISTRICT 16 - CENTRAL,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0,NA,NA,NA,4,0,Yes
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,CWS,SW,SWP,5249,1548,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,SUBURBAN WATER SYSTEMS-GLENDORA,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low to no risk,Low to no risk,Low Risk,Low to no risk,5249,Not At-Risk,1,$0,2,0,1,4,0,Yes
CA1910047,HAWTHORNE-CITY WATER DEPT.,CWS,SW,SWP,44729,6205,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,HAWTHORNE-CITY WATER DEPT.,LOS ANGELES,DISTRICT 22 - ANGELES,Low to no risk,Low to no risk,Medium Risk,Low to no risk,44718,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",CWS,SW,SWP,15275,5608,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,"HUNTINGTON PARK-CITY, WATER DEPT.",LOS ANGELES,DISTRICT 22 - ANGELES,Low to no risk,Low to no risk,Medium Risk,Low to no risk,15437,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910050,"COMMERCE-CITY, WATER DEPT.",CWS,SW,SWP,4203,977,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,"COMMERCE-CITY, WATER DEPT.",LOS ANGELES,DISTRICT 22 - ANGELES,High to medium risk,Low to no risk,Low Risk,Low to no risk,4205,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA1910051,"INGLEWOOD- CITY, WATER DEPT.",CWS,SW,SWP,80824,15942,other_water_systems,0,0,1,1,1,1,LOS ANGELES  ,SWP,SW,Purchased,South Coast,"INGLEWOOD- CITY, WATER DEPT.",LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low to no risk,Low to no risk,Medium Risk,Low to no risk,80824,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,CWS,SW,SWP,20859,6194,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,CAL/AM WATER COMPANY - BALDWIN HILLS,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low to no risk,Low to no risk,No Risk,Low to no risk,20724,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910053,HEMLOCK MUTUAL WATER CO.,CWS,GW,GW,686,208,other_water_systems,0,0,0,0,3,1,LOS ANGELES  ,GW,GW,Not purchased,South Coast,HEMLOCK MUTUAL WATER CO.,LOS ANGELES,DISTRICT 22 - ANGELES,High to medium risk,Low to no risk,No Risk,Low to no risk,686,Potentially At-Risk,1,$0,0,0,0,4,0,Yes
CA1910054,LA CANADA IRRIGATION DIST.,CWS,SW,SWP,9300,2949,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,LA CANADA IRRIGATION DIST.,LOS ANGELES,DISTRICT 16 - CENTRAL,Low to no risk,Low to no risk,No Risk,Low to no risk,9300,Not At-Risk,1,$0,0,0,0,3,1,Yes
CA1910056,LAKE ELIZABETH MUTUAL WATER CO.,CWS,SW,SWP,1790,725,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,LAKE ELIZABETH MUTUAL WATER CO.,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low to no risk,Low to no risk,No Risk,Low to no risk,1790,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,CWS,GW,GW,56793,15309,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,SUBURBAN WATER SYSTEMS-LA MIRADA,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low to no risk,Low to no risk,No Risk,Low to no risk,56793,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910060,LA PUENTE VALLEY CWD,CWS,GW,GW,8243,2498,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Coast,LA PUENTE VALLEY CWD,LOS ANGELES,DISTRICT 16 - CENTRAL,Low to no risk,Low to no risk,No Risk,Low to no risk,8243,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA1910061,LAS FLORES WATER CO.,CWS,SW,SWP,4847,1479,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,LAS FLORES WATER CO.,LOS ANGELES,DISTRICT 16 - CENTRAL,Low to no risk,High to medium risk,No Risk,Low to no risk,4847,At-Risk,1,$0,0,0,0,2,2,Yes
CA1910062,"LA VERNE, CITY WD",CWS,SW,SWP,32206,8819,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,"LA VERNE, CITY WD",LOS ANGELES,DISTRICT 15 - METROPOLITAN,Low to no risk,Low to no risk,No Risk,Low to no risk,31334,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910063,LINCOLN AVENUE WATER CO.,CWS,SW,SW,16126,4493,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,SW,SW,Not purchased,South Coast,LINCOLN AVENUE WATER CO.,LOS ANGELES,DISTRICT 16 - CENTRAL,High to medium risk,High to medium risk,No Risk,Low to no risk,16088,At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,CWS,GW,GW,3041,1357,other_water_systems,0,0,1,4,4,1,LOS ANGELES  ,GW,GW,Not purchased,South Lahontan,LITTLEROCK CREEK IRRIGATION DIST.,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low to no risk,Low to no risk,High Risk,Low to no risk,3040,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA1910065,LONG BEACH UTILITIES DEPARTMENT,CWS,SW,SWP,458222,90104,carceral_serving_water_system,0,0,0,0,0,0,LOS ANGELES  ,SWP,SW,Purchased,South Coast,LONG BEACH UTILITIES DEPARTMENT,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Not Assessed,Not Assessed,Not Assessed,Not Assessed,466772,Not Assessed,1,$0,NA,NA,NA,4,0,Yes
CA1910066,LEISURE LAKE MOBILE ESTATES,CWS,GW,GW,325,211,other_water_systems,0,0,0,0,0,0,LOS ANGELES  ,GW,GW,Not purchased,South Lahontan,LEISURE LAKE MOBILE ESTATES,LOS ANGELES,DISTRICT 22 - ANGELES,High to medium risk,Low to no risk,Low Risk,Low to no risk,325,Potentially At-Risk,1,$0,0,0,0,4,0,Yes
