id,n_ccr_downloaded,n_ccr_missing
CA2000595,4,0
CA2000605,4,0
CA2000608,4,0
CA2000612,4,0
CA2000688,4,0
CA2000690,1,3
CA2000692,2,2
CA2000724,2,2
CA2000727,2,2
CA2000728,2,2
CA2000729,4,0
CA2000737,1,3
CA2000757,1,3
CA2000775,4,0
CA2000800,4,0
CA2000828,4,0
CA2000832,4,0
CA2000849,1,3
CA2000851,1,3
CA2000865,1,3
CA2000866,4,0
CA2010001,3,1
CA2010002,4,0
CA2010003,3,1
CA2010004,4,0
CA2010005,4,0
CA2010006,4,0
CA2010007,4,0
CA2010008,4,0
CA2010009,4,0
CA2010010,4,0
CA2010011,4,0
CA2010012,4,0
CA2010013,4,0
CA2010014,4,0
CA2010015,4,0
CA2010016,4,0
CA2010017,4,0
CA2010800,4,0
CA2010801,4,0
CA2100508,4,0
CA2100519,2,2
CA2100527,3,1
CA2100538,2,2
CA2100545,3,1
CA2100549,2,2
CA2100560,2,2
CA2100565,1,3
CA2100566,3,1
CA2100579,1,3
CA2100582,1,3
CA2100584,3,1
CA2110001,1,3
CA2110002,3,1
CA2110003,3,1
CA2110004,2,2
CA2110005,2,2
CA2110006,3,1
CA2110007,4,0
CA2110008,1,3
CA2110304,3,1
CA2110350,2,2
CA2110502,1,3
CA2210001,4,0
CA2210002,4,0
CA2210003,4,0
CA2210503,4,0
CA2210510,4,0
CA2210515,4,0
CA2210851,4,0
CA2210900,4,0
CA2210901,4,0
CA2210903,4,0
CA2210905,4,0
CA2210906,4,0
CA2210907,4,0
CA2210909,4,0
CA2210910,4,0
CA2210918,3,1
CA2210921,4,0
CA2210924,4,0
CA2210925,4,0
CA2210926,4,0
CA2300502,2,2
CA2300506,4,0
CA2300507,2,2
CA2300514,2,2
CA2300519,1,3
CA2300545,3,1
CA2300584,4,0
CA2300590,3,1
CA2300591,2,2
CA2300596,4,0
CA2300604,4,0
CA2300605,2,2
CA2300606,2,2
CA2300609,4,0
CA2300610,4,0
CA2300634,3,1
CA2300644,2,2
CA2300646,4,0
CA2300663,2,2
CA2300667,4,0
CA2300668,4,0
CA2300705,3,1
CA2300708,2,2
CA2300717,1,3
CA2300730,4,0
CA2300731,3,1
CA2300735,3,1
CA2300743,3,1
CA2300802,2,2
CA2300804,2,2
CA2300829,2,2
CA2300830,2,2
CA2300832,4,0
CA2300838,4,0
CA2300846,4,0
CA2300852,4,0
CA2300863,4,0
CA2300871,1,3
CA2300879,4,0
CA2300892,4,0
CA2300901,4,0
CA2300902,1,3
CA2300906,3,1
CA2310001,2,2
CA2310002,4,0
CA2310003,2,2
CA2310004,4,0
CA2310005,2,2
CA2310006,2,2
CA2310007,4,0
CA2310008,1,3
CA2310009,3,1
CA2310010,3,1
CA2310011,3,1
CA2310012,1,3
CA2310013,2,2
CA2310800,1,3
CA2400011,4,0
CA2400013,4,0
CA2400046,4,0
CA2400053,4,0
CA2400055,4,0
CA2400057,2,2
CA2400062,4,0
CA2400064,4,0
CA2400065,4,0
CA2400066,4,0
CA2400071,4,0
CA2400075,4,0
CA2400078,4,0
CA2400079,4,0
CA2400084,4,0
CA2400085,1,3
CA2400091,4,0
CA2400097,4,0
CA2400099,4,0
CA2400113,4,0
CA2400122,4,0
CA2400128,4,0
CA2400134,4,0
CA2400139,4,0
CA2400148,4,0
CA2400154,4,0
CA2400162,4,0
CA2400165,4,0
CA2400166,4,0
CA2400167,4,0
CA2400169,4,0
CA2400170,4,0
CA2400172,4,0
CA2400200,4,0
CA2400201,4,0
CA2400208,1,3
CA2400209,4,0
CA2400211,4,0
CA2400216,4,0
CA2400218,4,0
CA2400219,3,1
CA2400223,4,0
CA2400226,4,0
CA2400231,4,0
CA2400232,4,0
CA2400248,4,0
CA2400255,4,0
CA2400326,2,2
CA2400329,4,0
CA2400330,4,0
CA2400332,4,0
CA2400334,4,0
CA2400335,4,0
CA2400336,4,0
CA2400338,1,3
CA2400339,4,0
CA2400341,1,3
CA2400342,4,0
CA2400343,4,0
CA2410001,4,0
CA2410002,4,0
CA2410003,4,0
CA2410004,4,0
CA2410005,4,0
CA2410006,4,0
CA2410007,4,0
CA2410008,4,0
CA2410009,4,0
CA2410010,4,0
CA2410011,3,1
CA2410012,4,0
CA2410018,4,0
CA2410021,4,0
CA2410700,4,0
CA2500503,1,3
CA2500547,4,0
CA2500911,1,3
CA2510002,1,3
CA2510800,2,2
CA2600501,4,0
CA2600532,4,0
CA2600538,1,3
CA2600546,3,1
CA2600547,4,0
CA2600620,4,0
CA2600621,4,0
CA2600622,3,1
CA2600624,4,0
CA2600699,4,0
CA2600714,3,1
CA2600733,3,1
CA2610001,4,0
CA2610002,4,0
CA2610003,4,0
CA2610004,4,0
CA2610005,4,0
CA2610700,4,0
CA2610701,4,0
CA2700503,4,0
CA2700509,4,0
CA2700511,4,0
CA2700518,4,0
CA2700522,4,0
CA2700523,4,0
CA2700534,4,0
CA2700535,4,0
CA2700541,4,0
CA2700547,4,0
CA2700548,4,0
CA2700558,4,0
CA2700577,4,0
CA2700579,4,0
CA2700586,4,0
CA2700589,4,0
CA2700592,3,1
CA2700594,4,0
CA2700606,4,0
CA2700612,4,0
CA2700622,4,0
CA2700624,1,3
CA2700629,3,1
CA2700634,4,0
CA2700638,4,0
CA2700662,3,1
CA2700663,4,0
CA2700665,4,0
CA2700669,4,0
CA2700674,4,0
CA2700678,4,0
CA2700682,4,0
CA2700686,4,0
CA2700687,4,0
CA2700691,4,0
CA2700702,4,0
CA2700703,4,0
CA2700705,4,0
CA2700709,4,0
CA2700713,4,0
CA2700728,4,0
CA2700731,4,0
CA2700733,4,0
CA2700738,4,0
CA2700740,4,0
CA2700766,4,0
CA2700771,4,0
CA2700772,4,0
CA2700773,4,0
CA2700775,4,0
CA2700787,4,0
CA2700792,4,0
CA2700799,4,0
CA2700837,3,1
CA2700838,4,0
CA2700842,4,0
CA2700853,2,2
CA2700875,4,0
CA2700964,4,0
CA2700970,4,0
CA2700998,4,0
CA2701034,2,2
CA2701040,3,1
CA2701046,4,0
CA2701063,1,3
CA2701068,3,1
CA2701151,4,0
CA2701153,4,0
CA2701172,4,0
CA2701187,4,0
CA2701202,4,0
CA2701214,4,0
CA2701221,4,0
CA2701231,4,0
CA2701241,4,0
CA2701254,4,0
CA2701257,4,0
CA2701263,4,0
CA2701278,4,0
CA2701279,4,0
CA2701280,4,0
CA2701295,4,0
CA2701297,3,1
CA2701310,1,3
CA2701355,4,0
CA2701364,4,0
CA2701367,4,0
CA2701403,4,0
CA2701423,4,0
CA2701452,4,0
CA2701498,4,0
CA2701503,4,0
CA2701515,4,0
CA2701550,4,0
CA2701553,4,0
CA2701570,4,0
CA2701589,3,1
CA2701633,4,0
CA2701647,4,0
CA2701658,2,2
CA2701659,4,0
CA2701670,4,0
CA2701676,4,0
CA2701683,4,0
CA2701687,3,1
CA2701701,3,1
CA2701705,4,0
CA2701726,4,0
CA2701731,4,0
CA2701740,4,0
CA2701742,4,0
CA2701789,4,0
CA2701800,4,0
CA2701820,3,1
CA2701822,4,0
CA2701837,4,0
CA2701876,4,0
CA2701888,4,0
CA2701897,4,0
CA2701898,4,0
CA2701904,4,0
CA2701906,4,0
CA2701918,4,0
CA2701926,4,0
CA2701931,4,0
CA2701935,4,0
CA2701940,4,0
CA2701946,4,0
