pwsid,population,service_connections,state_classification,activity_status_cd,regulating_agency,carceral_sys,count_of_viols_over5yrs_mcl,count_of_viols_over5yrs_mon,binary_viol_over5yrs_mcl,binary_viol_over5yrs_mon
CA0500082,288,102,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500085,200,1,NON-TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500088,215,1,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500090,120,1,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500091,150,13,COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500095,85,3,NON-TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500099,25,1,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500104,80,2,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500105,25,3,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0510001,4774,1735,COMMUNITY,A ,DISTRICT 10 - STOCKTON,nonexclusive_carceral,2,0,1,0
CA0510002,6286,1972,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0510003,3836,1975,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0510004,89,47,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0510005,1043,572,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0510006,9861,3867,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0510009,4841,1729,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0510010,900,263,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0510011,686,361,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0510012,828,448,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0510016,11545,5990,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,3,0,1,0
CA0510017,5187,2757,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0510019,255,108,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0600001,25,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0600003,50,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0600005,250,57,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,2,0,1
CA0600008,512,114,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,5,4,1,1
CA0600009,168,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,1,0,1
CA0600012,246,88,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,2,0,1
CA0600013,382,128,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0600016,97,13,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,1,0,1
CA0600027,26,42,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,1,0,1
CA0600032,63,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0600033,31,91,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,1,0,1
CA0600042,126,3,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0600050,15000,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0600056,118,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0600065,533,40,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,1,0,1
CA0600076,531,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0605002,390,5,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,2,0,1
