PWS ID,PWS Name,Primacy Agency,PWS Type,Population Served Count,Service Connections Count,Primary Source,Primary Source Code,GW SW,GW SW Code
CA3601176,JOHNSON VALLEY COMMUNITY CENTER,California,Transient non-community system,120,9,Ground water,GW,Groundwater,GW
CA5400552,STONY CREEK LODGE,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA3400380,BERT'S DINER,California,Transient non-community system,60,3,Ground water,GW,Groundwater,GW
CA5800809,LAKE OF THE SPRINGS,California,Non-Transient non-community system,"6,500",1,Ground water,GW,Groundwater,GW
CA3901399,CHURCH OF JESUS CHRIST OF LDS,California,Transient non-community system,100,1,Ground water,GW,Groundwater,GW
CA2400089,HAGAMAN COUNTY PARK,California,Transient non-community system,280,8,Ground water,GW,Groundwater,GW
CA2400114,LAKE YOSEMITE COUNTY PARK,California,Transient non-community system,"1,200",24,Ground water,GW,Groundwater,GW
CA4400754,MONTE VISTA CHRISTIAN SCHOOL,California,Community water system,"1,083",43,Ground water,GW,Groundwater,GW
CA0202515,CARSON RIVER RESORT,California,Transient non-community system,33,26,Ground water,GW,Groundwater,GW
CA1500555,MUSTANG MUTUAL WATER SYSTEM,California,Community water system,200,51,Ground water,GW,Groundwater,GW
CA0600013,COLUSA CO. WWD #2 - PRINCETON,California,Community water system,382,120,Ground water,GW,Groundwater,GW
CA5510009,GROVELAND COMMUNITY SERV DIST,California,Community water system,"3,400",3298,Surface water,SW,Surface water,SW
CA1000508,SIERRA LUTHERAN CHURCH,California,Transient non-community system,102,3,Ground water,GW,Groundwater,GW
CA5500145,SAN JOSE FAMILY CAMP,California,Transient non-community system,230,4,Ground water,GW,Groundwater,GW
CA5500119,YOSEMITE VISTA ESTATES,California,Community water system,59,59,Ground water,GW,Groundwater,GW
CA5500027,COW CREEK PERMITTEES ASSOCIATION,California,Transient non-community system,50,42,Ground water,GW,Groundwater,GW
CA2400229,HILLVIEW PACKING-GUSTINE,California,Transient non-community system,27,2,Ground water,GW,Groundwater,GW
CA0710006,CITY OF MARTINEZ,California,Community water system,"30,997",10230,Surface water purchased,SWP,Surface water,SW
CA5500128,GOLD RUSH MOBILE HOME PARK,California,Community water system,67,57,Groundwater under influence of surface water,GU,Surface water,SW
CA1400072,NORTH LONE PINE MUTUAL WATER COMPANY,California,Community water system,70,33,Ground water,GW,Groundwater,GW
CA1400037,FOOTHILL MOBILE HOME PARK,California,Community water system,54,48,Ground water,GW,Groundwater,GW
CA2700687,PESANTE RD WS #02,California,Community water system,120,40,Ground water,GW,Groundwater,GW
CA2702198,FOOTHILL ESTATES WS,California,Community water system,183,41,Ground water,GW,Groundwater,GW
CA2701221,WASHINGTON  SCHOOL WS,California,Non-Transient non-community system,250,2,Ground water,GW,Groundwater,GW
CA2702323,DEETJEN'S BIG SUR INN WS,California,Non-Transient non-community system,35,8,Surface water,SW,Surface water,SW
CA2702708,OLD STAGE RD WS #21,California,Non-Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA2702496,KENDALL-JACKSON WINERY WS,California,Non-Transient non-community system,45,1,Ground water,GW,Groundwater,GW
CA2700579,ELKHORN RD WS #04,California,Community water system,60,20,Ground water,GW,Groundwater,GW
CA4500194,VILLAGE GREEN,California,Community water system,90,32,Ground water,GW,Groundwater,GW
CA4901448,BELLA VINEYARDS AND WINE CAVES,California,Transient non-community system,45,1,Ground water,GW,Groundwater,GW
CA4901370,SUTTER SANTA ROSA REGIONAL HOSPITAL,California,Non-Transient non-community system,"1,000",3,Ground water,GW,Groundwater,GW
CA0710008,CITY OF PITTSBURG,California,Community water system,"62,500",19534,Surface water purchased,SWP,Surface water,SW
CA3310025,"NORCO, CITY OF",California,Community water system,"25,037",7447,Surface water purchased,SWP,Surface water,SW
CA3310038,RANCHO CALIFORNIA WATER DISTRICT,California,Community water system,"144,088",44217,Surface water purchased,SWP,Surface water,SW
CA3910005,"MANTECA, CITY OF",California,Community water system,"84,928",26685,Surface water purchased,SWP,Surface water,SW
CA1910144,SAN GABRIEL COUNTY WD,California,Community water system,"39,345",9530,Ground water,GW,Groundwater,GW
CA3301045,BLYTHE MOBILE HOME ESTATES,California,Community water system,35,24,Ground water,GW,Groundwater,GW
CA2310005,WILLOW COUNTY WATER DISTRICT,California,Community water system,"3,797",1079,Surface water purchased,SWP,Surface water,SW
CA2310010,HOPLAND PUBLIC UTILITY DISTRICT,California,Community water system,"1,076",327,Ground water,GW,Groundwater,GW
CA2300605,RIVER ESTATES MUTUAL WATER COMPANY,California,Community water system,250,83,Ground water,GW,Groundwater,GW
CA2300507,CALPELLA COUNTY WATER DISTRICT,California,Community water system,548,185,Surface water purchased,SWP,Surface water,SW
CA2310006,MILLVIEW COUNTY WATER DISTRICT,California,Community water system,"5,500",1715,Surface water,SW,Surface water,SW
CA2310008,REDWOOD VALLEY COUNTY WATER DISTRICT,California,Community water system,"5,200",1317,Surface water,SW,Surface water,SW
CA3500575,SPRINGWOOD ESTATES MWC,California,Community water system,50,15,Ground water,GW,Groundwater,GW
CA0400155,BIGGERS GLEN MUTUAL WATER CO,California,Community water system,25,18,Ground water,GW,Groundwater,GW
CA5400709,SEQUOIA UNION ELEMENTARY SCHOOL,California,Non-Transient non-community system,400,25,Ground water,GW,Groundwater,GW
CA4000213,TOYOTA SAN LUIS OBISPO,California,Non-Transient non-community system,57,1,Ground water,GW,Groundwater,GW
CA2000598,ALVIEW SCHOOL,California,Non-Transient non-community system,177,1,Ground water,GW,Groundwater,GW
CA2000597,DAIRYLAND SCHOOL,California,Non-Transient non-community system,253,8,Ground water,GW,Groundwater,GW
CA2000655,BALTIMORE AIRCOIIL COMPANY,California,Non-Transient non-community system,280,1,Ground water,GW,Groundwater,GW
CA4000757,CERRO ALTO CAMPGROUND,California,Transient non-community system,30,8,Ground water,GW,Groundwater,GW
CA2000581,COARSEGOLD INN,California,Transient non-community system,30,14,Ground water,GW,Groundwater,GW
CA1310004,"EL CENTRO, CITY OF",California,Community water system,"44,158",10230,Surface water purchased,SWP,Surface water,SW
CA2400139,YOSEMITE WHOLESALE,California,Non-Transient non-community system,285,3,Ground water,GW,Groundwater,GW
CA2400336,DOREVA PRODUCE,California,Non-Transient non-community system,56,8,Ground water,GW,Groundwater,GW
CA4901440,SUGARLOAF WATER SYSTEM,California,Transient non-community system,62,1,Ground water,GW,Groundwater,GW
CA0900107,GRAY'S MART AND GAS,California,Transient non-community system,100,2,Ground water,GW,Groundwater,GW
CA0900120,SCIOTS TRACT WATER SYSTEM,California,Transient non-community system,223,79,Surface water,SW,Surface water,SW
CA2400034,BUHACH PENTECOST HALL,California,Transient non-community system,150,2,Ground water,GW,Groundwater,GW
CA2800061,HILLSIDE CHRISTIAN CENTER WATER SYSTEM,California,Transient non-community system,311,1,Ground water,GW,Groundwater,GW
CA2100552,WILLIAM TELL HOUSE,California,Transient non-community system,110,4,Ground water,GW,Groundwater,GW
CA0910002,SOUTH TAHOE PUD - MAIN,California,Community water system,"117,013",14287,Ground water,GW,Groundwater,GW
CA3410001,SACRAMENTO SUBURBAN WATER DISTRICT,California,Community water system,"194,444",46822,Surface water purchased,SWP,Surface water,SW
CA3410011,"GALT, CITY OF",California,Community water system,"26,536",7862,Ground water,GW,Groundwater,GW
CA1010018,"KERMAN, CITY OF",California,Community water system,"16,995",3992,Ground water,GW,Groundwater,GW
CA4000659,TRI COUNTIES CLUB,California,Transient non-community system,87,87,Ground water,GW,Groundwater,GW
CA1503681,COLUMBINE VINEYARDS PLANT 1 WATER SYSTEM,California,Non-Transient non-community system,60,1,Ground water,GW,Groundwater,GW
CA5400921,CEDAR SLOPE MUTUAL WATER COMPANY,California,Transient non-community system,27,23,Ground water,GW,Groundwater,GW
CA2702799,RIVER RD WS #34,California,Transient non-community system,53,3,Ground water,GW,Groundwater,GW
CA3301491,ALPINE VILLAGE,California,Community water system,198,60,Ground water,GW,Groundwater,GW
CA2000370,TOM PISTACHIO WATER SYSTEM,California,Non-Transient non-community system,"2,100",14,Ground water,GW,Groundwater,GW
CA3010037,YORBA LINDA WATER DISTRICT,California,Community water system,"84,140",25497,Surface water purchased,SWP,Surface water,SW
CA5010006,CITY OF WATERFORD,California,Community water system,"8,788",2174,Ground water,GW,Groundwater,GW
CA5010026,WATERFORD - HICKMAN,California,Community water system,597,183,Ground water,GW,Groundwater,GW
CA5010042,WATERFORD-RIVER POINTE,California,Community water system,"1,079",339,Ground water,GW,Groundwater,GW
CA5010018,"RIVERBANK, CITY OF",California,Community water system,"24,834",7191,Ground water,GW,Groundwater,GW
CA5000211,RIVERBANK LRA,California,Non-Transient non-community system,156,24,Ground water,GW,Groundwater,GW
CA1502449,CYPRESS CANYON WATER SYSTEM,California,Community water system,44,16,Ground water,GW,Groundwater,GW
CA0707915,TESS FARM MARKET,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA1502717,MOUNTAIN VALLEY AIRPORT,California,Transient non-community system,108,2,Ground water,GW,Groundwater,GW
CA1910092,"MONTEREY PARK-CITY, WATER DEPT.",California,Community water system,"62,183",13616,Ground water,GW,Groundwater,GW
CA3400286,CORDOVA GOLF COURSE,California,Transient non-community system,100,3,Ground water,GW,Groundwater,GW
CA2700522,CABANA HOLIDAY WS,California,Community water system,506,146,Ground water,GW,Groundwater,GW
CA4300964,"NEWBY ISLAND LANDFILL, REPUBLIC SERVICES",California,Non-Transient non-community system,67,1,Ground water,GW,Groundwater,GW
CA0900317,LAKE CHIQUITA MUTUAL WATER COMPANY,California,Transient non-community system,63,17,Ground water,GW,Groundwater,GW
CA0706029,EXCELSIOR MIDDLE SCHOOL,California,Non-Transient non-community system,600,2,Ground water,GW,Groundwater,GW
CA4300560,GREEN MOUNTAIN WATER COMPANY,California,Community water system,80,38,Ground water,GW,Groundwater,GW
CA5400505,HARTLAND CHRISTIAN CAMP,California,Community water system,163,54,Ground water,GW,Groundwater,GW
CA1503226,QVWD-WEST & EAST COMBINED WATER SYSTEM,California,Community water system,192,77,Ground water,GW,Groundwater,GW
CA4700501,LAKE SISKIYOU CAMPGROUND,California,Transient non-community system,"1,800",2,Surface water,SW,Surface water,SW
CA1200566,ORLEANS MUTUAL WATER COMPANY,California,Community water system,85,38,Surface water,SW,Surface water,SW
CA1210008,GARBERVILLE SANITARY DISTRICT,California,Community water system,"1,815",465,Surface water,SW,Surface water,SW
CA3010046,CITY OF TUSTIN,California,Community water system,"66,600",14160,Surface water purchased,SWP,Surface water,SW
CA5403054,"PFFJ, LLC",California,Non-Transient non-community system,25,11,Ground water,GW,Groundwater,GW
CA1910160,TRACT 349 MUTUAL WATER CO.,California,Community water system,"3,132",949,Ground water,GW,Groundwater,GW
CA2400053,EL NIDO MOBILE HOME PARK,California,Community water system,137,50,Ground water,GW,Groundwater,GW
CA4400528,LAUREL COMMUNITY LEAGUE,California,Community water system,64,23,Groundwater under influence of surface water,GU,Surface water,SW
CA5402046,"MCWANE PLANT AND INDUSTRIAL, LLC",California,Non-Transient non-community system,105,1,Ground water,GW,Groundwater,GW
CA2210945,WILDHAVEN YOSEMITE WATER SYSTEM,California,Transient non-community system,100,17,Ground water,GW,Groundwater,GW
CA3301245,CHERRY VALLEY RANCH LLC,California,Transient non-community system,120,100,Ground water,GW,Groundwater,GW
CA5200606,TEHAMA CO.-CONE GROVE PARK,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA5200653,TEHAMA CO.-MILL CREEK PARK,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA5200642,TEHAMA CO.-RIDGEWAY PARK,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA5200608,TEHAMA CO.-RIVER PARK,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA3901466,PARK GREEN HOUSES WATER SYSTEM,California,Non-Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA5400754,SOUTH KAWEAH MUTUAL WATER COMPANY,California,Community water system,384,142,Ground water,GW,Groundwater,GW
CA5800017,CLOVER CAFE & WINE BAR,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA3910011,"TRACY, CITY OF",California,Community water system,"94,538",27078,Surface water,SW,Surface water,SW
CA5403118,SAPUTO DAIRY FOOD USA,California,Non-Transient non-community system,155,1,Ground water,GW,Groundwater,GW
CA4000714,SANTA MARGARITA RECREATION AREA,California,Transient non-community system,"50,001",8,Ground water,GW,Groundwater,GW
CA3310031,"RIVERSIDE, CITY OF",California,Community water system,"298,398",66422,Groundwater under influence of surface water,GU,Surface water,SW
CA5301001,BUCKTAIL MUTUAL WATER COMPANY,California,Community water system,42,42,Ground water,GW,Groundwater,GW
CA3301055,HARMONY HAVEN,California,Community water system,54,12,Ground water,GW,Groundwater,GW
CA5403148,COURAGE TO CHANGE,California,Non-Transient non-community system,37,9,Ground water,GW,Groundwater,GW
CA5403042,CALIFORNIA DAIRIES INC TIPTON,California,Non-Transient non-community system,140,3,Ground water,GW,Groundwater,GW
CA4901189,AZURE ACRES CD RECOVERY CENTER,California,Transient non-community system,30,8,Ground water,GW,Groundwater,GW
CA2300902,GOLDENEYE WINERY,California,Transient non-community system,43,1,Ground water,GW,Groundwater,GW
CA4300971,PG&E METCALF,California,Non-Transient non-community system,100,1,Ground water,GW,Groundwater,GW
CA2900513,LAKE SPAULDING CAMPGROUND,California,Transient non-community system,204,12,Ground water,GW,Groundwater,GW
CA2010002,CITY OF MADERA,California,Community water system,"65,074",15112,Ground water,GW,Groundwater,GW
CA2210930,NEW LIFE CHRISTIAN FELLOWSHIP,California,Transient non-community system,130,1,Ground water,GW,Groundwater,GW
CA3700044,AUERBACH FARMS,California,Non-Transient non-community system,"25,068",8,Ground water,GW,Groundwater,GW
CA1710015,HIDDEN VALLEY LAKE CSD,California,Community water system,"6,235",2528,Ground water,GW,Groundwater,GW
CA5205009,RED BLUFF FISH & WILDLIFE OFFICE,California,Non-Transient non-community system,40,8,Ground water,GW,Groundwater,GW
CA4300764,WALDEN WEST,California,Transient non-community system,273,5,Ground water,GW,Groundwater,GW
CA0300016,VOLCANO COMMUNITY SERVICE DIST,California,Community water system,103,73,Groundwater under influence of surface water,GU,Surface water,SW
CA3601107,SAN ANTONIO WINERY,California,Transient non-community system,160,1,Ground water,GW,Groundwater,GW
CA1100440,LAKE ELEMENTARY SCHOOL,California,Non-Transient non-community system,205,1,Ground water,GW,Groundwater,GW
CA4400530,LAND OF MEDICINE BUDDHA,California,Non-Transient non-community system,89,16,Ground water,GW,Groundwater,GW
CA5110002,CITY OF YUBA CITY,California,Community water system,"70,256",18867,Surface water,SW,Surface water,SW
CA2300892,COVELO MOBILE HOME PARK,California,Community water system,30,30,Ground water,GW,Groundwater,GW
CA1300654,WALTERS CAMP RV PARK,California,Transient non-community system,102,4,Ground water,GW,Groundwater,GW
CA5410800,CAL FIRE - MOUNTAIN HOME CNSRVTN CAMP,California,Community water system,123,5,Ground water,GW,Groundwater,GW
CA3601161,EL COYOTE LOCO,California,Transient non-community system,100,2,Ground water,GW,Groundwater,GW
CA1500485,ANTELOPE VALLEY MOBILE ESTATES,California,Community water system,60,28,Ground water,GW,Groundwater,GW
CA5800009,ALCOUFFE COMMUNITY CENTER,California,Transient non-community system,50,2,Ground water,GW,Groundwater,GW
CA2400341,PACIFIC UNION PACKING,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA1700599,LAKE PILLSBURY RESORT & MARINA INC,California,Transient non-community system,150,53,Surface water,SW,Surface water,SW
CA4901406,MACROSTIE WINERY AND VINEYARD,California,Transient non-community system,150,3,Ground water,GW,Groundwater,GW
CA2702704,HARRIS RD WS #10,California,Non-Transient non-community system,284,4,Ground water,GW,Groundwater,GW
CA2702409,EL CAMINO WC INC,California,Community water system,133,21,Ground water,GW,Groundwater,GW
CA4200830,ZACA LAKE RETREAT,California,Transient non-community system,100,4,Surface water,SW,Surface water,SW
CA3700919,LAKE WOHLFORD RESORT,California,Community water system,250,137,Surface water,SW,Surface water,SW
CA3701961,PINE VALLEY TRAILER PARK,California,Community water system,200,92,Ground water,GW,Groundwater,GW
CA4000838,SIXMILEBRIDGE WINERY,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA1700568,HARBOR VIEW MUTUAL WATER COMPANY,California,Community water system,550,250,Surface water,SW,Surface water,SW
CA4400723,MISSION SPRINGS CONFERENCE CENTER,California,Community water system,"1,310",141,Ground water,GW,Groundwater,GW
CA1100254,VOYLES TRAILER PARK,California,Community water system,27,30,Ground water,GW,Groundwater,GW
CA0900216,THE PUB WATER SYSTEM,California,Transient non-community system,"1,000",2,Ground water,GW,Groundwater,GW
CA0500050,SALT SPRINGS VALLEY RES. & CAMPGRND,California,Transient non-community system,60,39,Ground water,GW,Groundwater,GW
CA2800555,TWOMEY CELLARS,California,Transient non-community system,43,1,Ground water,GW,Groundwater,GW
CA2801038,SILVER OAK WINE CELLARS,California,Non-Transient non-community system,188,1,Ground water,GW,Groundwater,GW
CA4901374,SILVER OAK WINE CELLARS LLC,California,Non-Transient non-community system,83,4,Ground water,GW,Groundwater,GW
CA4910029,CAMP MEEKER WATER SYSTEM,California,Community water system,"1,171",356,Ground water,GW,Groundwater,GW
CA1500409,BROCK MUTUAL WATER COMPANY,California,Community water system,462,155,Ground water,GW,Groundwater,GW
CA1206002,PALOMINO ESTATES WATER COMPANY,California,Community water system,64,19,Surface water,SW,Surface water,SW
CA4900573,WILSHIRE HEIGHTS MUTUAL WATER COMPANY,California,Community water system,70,41,Ground water,GW,Groundwater,GW
CA4901425,E STRING CELLARS,California,Transient non-community system,54,2,Ground water,GW,Groundwater,GW
CA4901432,SAINI WINERY,California,Transient non-community system,35,2,Ground water,GW,Groundwater,GW
CA2400208,MERCEY SPRINGS SHELL,California,Transient non-community system,45,1,Surface water,SW,Surface water,SW
CA2600656,FLO'S DINER,California,Transient non-community system,27,1,Ground water,GW,Groundwater,GW
CA1910126,"POMONA - CITY, WATER DEPT.",California,Community water system,"151,713",30172,Surface water,SW,Surface water,SW
CA1010001,BAKMAN WATER COMPANY,California,Community water system,"17,393",2679,Ground water,GW,Groundwater,GW
CA3901409,VALPICO INDUSTRIAL PARK,California,Non-Transient non-community system,60,1,Ground water,GW,Groundwater,GW
CA0500032,NEW MELONES LAKE MARINA,California,Transient non-community system,100,2,Ground water,GW,Groundwater,GW
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,California,Community water system,150,13,Surface water,SW,Surface water,SW
CA3301018,ANZA PINES MOBILE HOME PARK,California,Community water system,90,47,Ground water,GW,Groundwater,GW
CA2900611,WOLF MOUNTAIN CONF. ASSN.,California,Transient non-community system,75,26,Ground water,GW,Groundwater,GW
CA0500007,DREAM MOUNTAIN CHRISTIAN CAMP INC.,California,Transient non-community system,50,8,Ground water,GW,Groundwater,GW
CA4200877,BETTERAVIA GAS & MART,California,Transient non-community system,150,1,Ground water,GW,Groundwater,GW
CA4200854,"IMERYS FILTRATION MINERALS, INC",California,Non-Transient non-community system,200,22,Ground water,GW,Groundwater,GW
CA4200918,LOS PRIETOS COMPLEX,California,Community water system,845,39,Ground water,GW,Groundwater,GW
CA5100118,LOVEY'S LANDING,California,Transient non-community system,89,51,Ground water,GW,Groundwater,GW
CA3200127,ARLINGTON HEIGHTS MHP,California,Community water system,33,39,Ground water,GW,Groundwater,GW
CA2702641,CONUNDRUM WINERY WS,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA2702003,VIERRA MEADOWS MWC,California,Community water system,65,25,Ground water,GW,Groundwater,GW
CA2701172,WILDHORSE CAFE WS,California,Non-Transient non-community system,367,6,Ground water,GW,Groundwater,GW
CA1502569,FIRST MUTUAL WATER SYSTEM,California,Community water system,35,13,Ground water,GW,Groundwater,GW
CA3100528,GOLDEN HILLS MUTUAL WATER CO,California,Community water system,84,32,Surface water purchased,SWP,Surface water,SW
CA3100010,MORNING STAR LAKE RESORT,California,Transient non-community system,400,1,Ground water,GW,Groundwater,GW
CA1900785,MITCHELL'S AVENUE E MOBILE HOME PARK,California,Community water system,24,24,Ground water,GW,Groundwater,GW
CA0500055,CAMP WOLFEBORO,California,Transient non-community system,250,8,Ground water,GW,Groundwater,GW
CA0500088,MOANING CAVERN,California,Transient non-community system,215,1,Ground water,GW,Groundwater,GW
CA0500107,"MACT HEALTH BOARD, INC.",California,Transient non-community system,35,2,Ground water,GW,Groundwater,GW
CA2400255,CLASSIC YAM WATER SYSTEM,California,Non-Transient non-community system,114,4,Ground water,GW,Groundwater,GW
CA4901283,FRITZ WINERY AND VINEYARD,California,Transient non-community system,26,2,Ground water,GW,Groundwater,GW
CA5800800,YUBA RIVER MOULDING & MILLWORK,California,Non-Transient non-community system,100,8,Ground water,GW,Groundwater,GW
CA4200967,VINCENT VINEYARDS,California,Transient non-community system,35,4,Ground water,GW,Groundwater,GW
CA0500106,MOUNTAIN RANCH WATER SYSTEM,California,Transient non-community system,150,4,Ground water,GW,Groundwater,GW
CA3301991,APPLE MARKET TWO,California,Transient non-community system,561,2,Ground water,GW,Groundwater,GW
CA5800919,PG&E,California,Non-Transient non-community system,50,1,Ground water,GW,Groundwater,GW
CA1907015,KIRK BUSINESS CENTER,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA3301701,DARK CANYON CAMPGROUND - USFS,California,Transient non-community system,40,1,Ground water,GW,Groundwater,GW
CA3301860,SANTA ROSA SPRINGS,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA3301902,LAKE FULMOR - USFS,California,Transient non-community system,125,2,Ground water,GW,Groundwater,GW
CA3301706,MARION MTN/ FERN BASIN - USFS,California,Transient non-community system,40,4,Ground water,GW,Groundwater,GW
CA3301704,KEENWILD STATION - USFS,California,Transient non-community system,30,4,Ground water,GW,Groundwater,GW
CA3710021,SAN DIEGUITO WD,California,Community water system,"40,096",12125,Surface water purchased,SWP,Surface water,SW
CA3700047,TECATE SUPERMARKET,California,Transient non-community system,25,3,Ground water,GW,Groundwater,GW
CA3500927,ENZA ZADEN RESEARCH,California,Non-Transient non-community system,65,2,Ground water,GW,Groundwater,GW
CA4700894,DOLLAR GENERAL STORE - WEED,California,Transient non-community system,50,1,Ground water,GW,Groundwater,GW
CA4901269,UNITED RENTALS,California,Transient non-community system,35,2,Ground water,GW,Groundwater,GW
CA5200645,SADDLEBACK MUTUAL WATER CO.,California,Community water system,90,38,Ground water,GW,Groundwater,GW
CA5200015,"CRAIN WALNUT SHELLING, INC.",California,Non-Transient non-community system,167,8,Ground water,GW,Groundwater,GW
CA3301709,VISTA GRANDE STATION - USFS,California,Transient non-community system,30,4,Ground water,GW,Groundwater,GW
CA5000483,RIVER OAK GRACE-WATER SYSTEM,California,Transient non-community system,500,3,Ground water,GW,Groundwater,GW
CA0707615,DOUBLETREE RANCH WATER SYSTEM,California,Community water system,132,20,Ground water,GW,Groundwater,GW
CA0900656,RAINBOW TRACT WATER ASSOC,California,Transient non-community system,23,23,Ground water,GW,Groundwater,GW
CA5000237,NORTH OAKS MUTUAL WATER CO,California,Community water system,234,78,Ground water,GW,Groundwater,GW
CA3301699,CINCO POSES CAMP - USFS,California,Transient non-community system,40,1,Ground water,GW,Groundwater,GW
CA2410001,CITY OF ATWATER,California,Community water system,"29,479",8400,Ground water,GW,Groundwater,GW
CA5601110,MIDDLE ROAD MUTUAL WATER CO,California,Community water system,134,48,Ground water purchased,GWP,Groundwater,GW
CA3910004,"LODI, CITY OF",California,Community water system,"68,272",29520,Surface water,SW,Surface water,SW
CA3301133,DOUG JONES WATER,California,Non-Transient non-community system,50,2,Ground water,GW,Groundwater,GW
CA4200963,CHISAN ORCHIDS NURSERY,California,Non-Transient non-community system,35,4,Ground water,GW,Groundwater,GW
CA3303021,ELSINORE HILLS RV PARK,California,Transient non-community system,45,53,Ground water,GW,Groundwater,GW
CA4200934,LAFOND WINERY,California,Transient non-community system,107,2,Ground water,GW,Groundwater,GW
CA0300085,ROARING CAMP,California,Transient non-community system,25,6,Ground water,GW,Groundwater,GW
CA3301800,STONEWOOD CANYON ESTATES,California,Community water system,40,26,Ground water,GW,Groundwater,GW
CA2900531,CREEKSIDE VILLAGE,California,Community water system,300,131,Ground water,GW,Groundwater,GW
CA4200915,SAN LORENZO SEMINARY,California,Transient non-community system,130,10,Ground water,GW,Groundwater,GW
CA0300049,PLASSE HOMESTEAD WATER ASSOCIATION,California,Transient non-community system,28,28,Ground water,GW,Groundwater,GW
CA0300080,PLASSE'S RESORT,California,Transient non-community system,730,125,Ground water,GW,Groundwater,GW
CA3301137,VALLEY AUTO WATER,California,Transient non-community system,30,8,Ground water,GW,Groundwater,GW
CA4200933,MELVILLE WINERY,California,Transient non-community system,25,3,Ground water,GW,Groundwater,GW
CA0500105,"OAKENDELL, INC.",California,Transient non-community system,25,3,Ground water,GW,Groundwater,GW
CA4000222,AVILA BEACH COMMUNITY SERVICES DISTRICT,California,Community water system,"1,630",388,Surface water purchased,SWP,Surface water,SW
CA2700592,HARRISON RD WS #01,California,Non-Transient non-community system,40,4,Ground water,GW,Groundwater,GW
CA4510002,MOUNTAIN GATE C.S.D.,California,Community water system,"2,227",669,Surface water,SW,Surface water,SW
CA2400211,RYEL FAMILY TRUST,California,Non-Transient non-community system,54,4,Ground water,GW,Groundwater,GW
CA5201147,GOLDEN MEADOWS CSD,California,Community water system,102,49,Ground water,GW,Groundwater,GW
CA5800851,FEATHER RIVER MANOR,California,Community water system,35,6,Ground water,GW,Groundwater,GW
CA5800572,FAIRWAY DOWNS MUTUAL WATER CO,California,Community water system,100,27,Ground water,GW,Groundwater,GW
CA3106491,"KINGDOM HALL OF JEHOVAH'S WITNESSES, BER",California,Transient non-community system,150,3,Ground water,GW,Groundwater,GW
CA5200013,WOMACK SUBDIVISION M.W.C.,California,Community water system,40,16,Ground water,GW,Groundwater,GW
CA2000509,CASCADEL MUTUAL WATER SYSTEM,California,Community water system,137,120,Ground water,GW,Groundwater,GW
CA2000681,CERTAINTEED LLC,California,Non-Transient non-community system,170,1,Ground water,GW,Groundwater,GW
CA4200718,MAJESTIC TOWNSGATE WATER SYSTEM,California,Non-Transient non-community system,200,2,Ground water,GW,Groundwater,GW
CA3310083,CHINO BASIN DESALTER AUTH. - DESALTER 2,California,Community water system,0,7,Ground water,GW,Groundwater,GW
CA3610075,CHINO BASIN DESALTER AUTH. - DESALTER 1,California,Community water system,0,3,Ground water,GW,Groundwater,GW
CA1500599,CHOCTAW VALLEY MUTUAL WATER CO.,California,Community water system,44,18,Ground water,GW,Groundwater,GW
CA1400066,ASPENDELL MUTUAL WATER COMPANY,California,Community water system,60,94,Ground water,GW,Groundwater,GW
CA3400465,STS,California,Transient non-community system,50,7,Ground water,GW,Groundwater,GW
CA5800924,CAMPTONVILLE COMMUNITY SERV DIST,California,Community water system,180,85,Surface water,SW,Surface water,SW
CA3700905,PINE HILLS MUTUAL WATER COMPANY,California,Community water system,760,232,Ground water,GW,Groundwater,GW
CA3710041,MAJESTIC PINES COMMUNITY SD,California,Community water system,"1,768",706,Ground water,GW,Groundwater,GW
CA1910044,"GLENDORA-CITY, WATER DEPT.",California,Community water system,"52,558",14053,Surface water purchased,SWP,Surface water,SW
CA5800829,COLLINS LAKE,California,Transient non-community system,350,131,Ground water,GW,Groundwater,GW
CA4010007,CITY OF PASO ROBLES WATER DIVISION,California,Community water system,"31,176",10822,Surface water,SW,Surface water,SW
CA1000361,WESTLANDS WATER DISTRICT,California,Non-Transient non-community system,48,4,Surface water,SW,Surface water,SW
CA4400570,MOUNTAIN SUMMIT MUTUAL WATER SYSTEM,California,Transient non-community system,223,10,Surface water purchased,SWP,Surface water,SW
CA1000650,ADAM'S MARKET,California,Transient non-community system,150,2,Ground water,GW,Groundwater,GW
CA5400537,LINDY'S LANDING,California,Community water system,125,177,Ground water,GW,Groundwater,GW
