,pwsid,health_5yr_count,health_5yr_count_no2ndary_mcl,health_5yr_count_no_2ndary_or_lsl,mr_5yr_count,mon_only_5yr_count,health_5yr_binary,health_5yr_no2ndary_mcl_binary,health_5yr_no2ndary_or_lsl_binary,mr_5yr_binary,mon_only_5yr_binary,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys
3677,CA5000133,0,0,0,0,0,0,0,0,0,0,HART- RANSOM UNION SCHOOL & DISTRICT,NTNCWS,GW,GW,650,9,other_water_systems
3678,CA5000141,0,0,0,1,1,0,0,0,1,1,LIBITZKY,NTNCWS,GW,GW,125,15,other_water_systems
3679,CA5000154,0,0,0,16,16,0,0,0,1,1,THE FRUIT YARD RESTAURANT,NTNCWS,GW,GW,118,4,other_water_systems
3680,CA5000155,0,0,0,0,0,0,0,0,0,0,ROBERTS FERRY SCHOOL CAFETERIA,NTNCWS,GW,GW,100,2,other_water_systems
3681,CA5000179,1,1,0,1,0,1,1,0,1,0,SCONZA CANDY COMPANY,NTNCWS,GW,GW,170,1,other_water_systems
3682,CA5000189,10,10,10,0,0,1,1,1,0,0,"NMIP FIRE & WATER SYSTEM, LLC",NTNCWS,GW,GW,300,24,other_water_systems
3683,CA5000202,0,0,0,0,0,0,0,0,0,0,JOE'S TRAVEL PLAZA (EH),NTNCWS,GW,GW,5026,12,other_water_systems
3684,CA5000211,1,1,0,1,0,1,1,0,1,0,RIVERBANK LRA,NTNCWS,GW,GW,156,24,other_water_systems
3685,CA5000218,17,17,17,1,1,1,1,1,1,1,COUNTRY VILLA APTS,CWS,GW,GW,60,23,other_water_systems
3686,CA5000237,0,0,0,1,1,0,0,0,1,1,NORTH OAKS MUTUAL WATER CO,CWS,GW,GW,234,78,other_water_systems
3687,CA5000249,14,14,14,7,7,1,1,1,1,1,STANISLAUS UNION SCHOOL DIST,NTNCWS,GW,GW,390,1,other_water_systems
3688,CA5000255,15,15,14,1,0,1,1,1,1,0,MOUNTAIN VIEW ELEMENTARY SCHOOL,NTNCWS,GW,GW,163,8,other_water_systems
3689,CA5000263,0,0,0,10,10,0,0,0,1,1,OASIS INVESTMENTS,CWS,GW,GW,75,31,other_water_systems
3690,CA5000273,6,6,6,0,0,1,1,1,0,0,GRATTON SCHOOL,NTNCWS,GW,GW,110,2,other_water_systems
3691,CA5000274,0,0,0,0,0,0,0,0,0,0,PARADISE SCHOOL,NTNCWS,GW,GW,218,4,other_water_systems
3692,CA5000277,0,0,0,0,0,0,0,0,0,0,VALLEY HOME SCHOOL PIONEER,NTNCWS,GW,GW,26,1,other_water_systems
3693,CA5000286,0,0,0,0,0,0,0,0,0,0,BRONCO WINERY,NTNCWS,GW,GW,500,15,other_water_systems
3694,CA5000295,13,13,13,1,1,1,1,1,1,1,SHILOH SCHOOL DISTRICT,NTNCWS,GW,GW,105,7,other_water_systems
3695,CA5000297,0,0,0,0,0,0,0,0,0,0,BUEHNER HOUSES,CWS,GW,GW,25,13,other_water_systems
3696,CA5000313,0,0,0,0,0,0,0,0,0,0,BUEHNER WATER SYSTEM,CWS,GW,GW,150,50,other_water_systems
3697,CA5000317,0,0,0,0,0,0,0,0,0,0,OID #51 - SUNSET OAKS #10,CWS,GW,GW,287,80,other_water_systems
3698,CA5000335,1,1,0,1,0,1,1,0,1,0,"BRETHREN HERITAGE SCHOOL, INC",NTNCWS,GW,GW,50,2,other_water_systems
3699,CA5000372,11,11,11,0,0,1,1,1,0,0,STORER TRANSPORTATION,NTNCWS,GW,GW,40,5,other_water_systems
3700,CA5000384,0,0,0,0,0,0,0,0,0,0,GREENLAW MODESTO INVESTORS LLC,NTNCWS,GW,GW,142,25,other_water_systems
3701,CA5000389,0,0,0,6,6,0,0,0,1,1,MONTEREY PARK TRACT CSD,CWS,GW,GWP,186,51,other_water_systems
3702,CA5000404,1,1,0,1,0,1,1,0,1,0,WOOD COLONY CHRISTIAN SCHOOL,NTNCWS,GW,GW,90,2,other_water_systems
3703,CA5000408,1,1,0,1,0,1,1,0,1,0,WESTLEY CSD,CWS,GW,GWP,70,35,other_water_systems
3704,CA5000411,26,26,26,6,6,1,1,1,1,1,MCHENRY BUSINESS PARK,NTNCWS,GW,GW,27,15,other_water_systems
3705,CA5000427,0,0,0,0,0,0,0,0,0,0,"REWORLD STANISLAUS, INC",NTNCWS,GW,GW,25,6,other_water_systems
3706,CA5000433,0,0,0,0,0,0,0,0,0,0,OID-OAKDALE RURAL WATER SYSTEM #1,CWS,GW,GW,1570,473,other_water_systems
3707,CA5000440,0,0,0,6,6,0,0,0,1,1,RAINBOW FARMS,NTNCWS,GW,GW,30,12,other_water_systems
3708,CA5000447,0,0,0,0,0,0,0,0,0,0,RIVER ROAD PLAZA,NTNCWS,GW,GW,25,6,other_water_systems
3709,CA5000454,2,2,2,0,0,1,1,1,0,0,PURINA MILLS INC,NTNCWS,GW,GW,25,1,other_water_systems
3710,CA5000465,27,27,27,1,1,1,1,1,1,1,DUARTE NURSERY INC WATER SYSTEM,NTNCWS,GW,GW,75,7,other_water_systems
3711,CA5000470,0,0,0,0,0,0,0,0,0,0,HUGHSON NUT COMPANY WATER SYSTEM,NTNCWS,GW,GW,80,3,other_water_systems
3712,CA5000473,0,0,0,0,0,0,0,0,0,0,EXCELL CENTER,NTNCWS,GW,GW,45,9,other_water_systems
3713,CA5000474,0,0,0,0,0,0,0,0,0,0,"STRATOS WAY WATER COMPANY, INC",NTNCWS,GW,GW,135,5,other_water_systems
3714,CA5000478,0,0,0,0,0,0,0,0,0,0,THE MORNING STAR COMPANY,NTNCWS,GW,GW,200,5,other_water_systems
3715,CA5000481,0,0,0,0,0,0,0,0,0,0,FOSTER FARMS-ELLENWOOD HATCHERY,NTNCWS,GW,GW,40,2,other_water_systems
3716,CA5000482,1,1,0,3,2,1,1,0,1,1,"CHEMURGIC AGRICULTURAL CHEMICALS, INC.",NTNCWS,GW,GW,42,7,other_water_systems
3717,CA5000494,0,0,0,0,0,0,0,0,0,0,TDS CALIFORNIA,NTNCWS,GW,GW,30,1,other_water_systems
3718,CA5000498,16,16,16,0,0,1,1,1,0,0,GOLDEN STATE PFT PROPERTIES LLC,NTNCWS,GW,GW,35,1,other_water_systems
3719,CA5000499,5,5,5,0,0,1,1,1,0,0,"RATTO BROS, INC",NTNCWS,GW,GW,100,2,other_water_systems
3720,CA5000517,0,0,0,0,0,0,0,0,0,0,"KIERNAN/MCHENRY WATER COMPANY, INC",NTNCWS,GW,GW,25,3,other_water_systems
3721,CA5000527,1,1,0,1,0,1,1,0,1,0,CALIFORNIA NUT COMPANY,NTNCWS,GW,GW,30,1,other_water_systems
3722,CA5000529,1,1,0,1,0,1,1,0,1,0,WEST COAST SAND & GRAVEL,NTNCWS,GW,GW,25,1,other_water_systems
3723,CA5000530,11,11,11,0,0,1,1,1,0,0,"FRAZIER NUT FARMS, INC.",NTNCWS,GW,GW,40,7,other_water_systems
3724,CA5000535,0,0,0,6,6,0,0,0,1,1,CHARITY WAY WATER SYSTEM,NTNCWS,GW,GW,25,10,other_water_systems
3725,CA5000548,0,0,0,0,0,0,0,0,0,0,MONTPELIER ORCHARDS (WATER),NTNCWS,GW,GW,25,3,other_water_systems
3726,CA5000552,14,14,14,0,0,1,1,1,0,0,KIERNAN BUSINESS CENTER,NTNCWS,GW,GW,120,18,other_water_systems
3727,CA5000554,17,17,17,6,6,1,1,1,1,1,HUGHSON NUT #2,NTNCWS,GW,GW,25,6,other_water_systems
3728,CA5000555,0,0,0,0,0,0,0,0,0,0,FRESH POINT (PIRANHA PRODUCE),NTNCWS,GW,GW,26,2,other_water_systems
3729,CA5000563,14,14,14,0,0,1,1,1,0,0,ELKS LODGE 1282,NTNCWS,GW,GW,25,2,other_water_systems
3730,CA5000565,13,13,13,1,1,1,1,1,1,1,STERLING INDUSTRIAL,NTNCWS,GW,GW,35,45,other_water_systems
3731,CA5000568,0,0,0,0,0,0,0,0,0,0,GREGORI HIGH SCHOOL,NTNCWS,GW,GW,2000,9,other_water_systems
3732,CA5000573,0,0,0,0,0,0,0,0,0,0,5033 PENTECOST,NTNCWS,GW,GW,302,2,other_water_systems
3733,CA5000574,15,15,15,0,0,1,1,1,0,0,EASTIN,NTNCWS,GW,GW,26,10,other_water_systems
3734,CA5000579,0,0,0,0,0,0,0,0,0,0,FOSTER FARMS #5,CWS,GW,GW,26,10,other_water_systems
3735,CA5000580,1,1,0,1,0,1,1,0,1,0,GROVER LANDSCAPE WATER SYSTEM,NTNCWS,GW,GW,125,2,other_water_systems
3736,CA5000581,0,0,0,0,0,0,0,0,0,0,PIONEER EQUINE HOSPITAL WATER SYSTEM,NTNCWS,GW,GW,25,1,other_water_systems
3737,CA5000584,0,0,0,0,0,0,0,0,0,0,MESA ELEMENTARY SCHOOL,NTNCWS,GW,GW,860,5,other_water_systems
3738,CA5000588,0,0,0,12,12,0,0,0,1,1,AT&T WATER SYSTEM,NTNCWS,GW,GW,80,3,other_water_systems
3739,CA5000590,0,0,0,0,0,0,0,0,0,0,CEBRO FROZEN FOODS (EH),NTNCWS,GW,GW,25,3,other_water_systems
3740,CA5000592,0,0,0,0,0,0,0,0,0,0,MID VALLEY AG,NTNCWS,GW,GW,25,2,other_water_systems
3741,CA5000593,0,0,0,0,0,0,0,0,0,0,RBVON,NTNCWS,GW,GW,50,2,other_water_systems
3742,CA5000595,0,0,0,0,0,0,0,0,0,0,LANDER VETERINARY CLINIC,NTNCWS,GW,GW,27,1,other_water_systems
3743,CA5000596,0,0,0,0,0,0,0,0,0,0,GROWERS DIRECT NUT COMPANY,NTNCWS,GW,GW,25,5,other_water_systems
3744,CA5000599,0,0,0,10,10,0,0,0,1,1,DARLING INGREDIENTS TURLOCK,NTNCWS,GW,GW,43,1,other_water_systems
3745,CA5000600,22,22,21,5,4,1,1,1,1,1,MID VALLEY NUT CO,NTNCWS,GW,GW,60,5,other_water_systems
3746,CA5000603,0,0,0,4,3,0,0,0,1,1,MONTE VISTA FARMING,NTNCWS,GW,GW,188,8,other_water_systems
3747,CA5010005,0,0,0,0,0,0,0,0,0,0,CITY OF MODESTO - SALIDA,CWS,GW,GW,14537,4416,other_water_systems
3748,CA5010006,0,0,0,0,0,0,0,0,0,0,CITY OF WATERFORD,CWS,GW,GW,8788,2174,other_water_systems
3749,CA5010007,4,4,4,0,0,1,1,1,0,0,HILLSVIEW HOMES,CWS,GW,GW,887,230,other_water_systems
3750,CA5010008,42,42,41,1,0,1,1,1,1,0,"HUGHSON, CITY OF",CWS,GW,GW,7481,2236,other_water_systems
3751,CA5010009,20,20,20,2,1,1,1,1,1,1,KEYES COMMUNITY SERVICES DIST.,CWS,GW,GW,5672,1436,other_water_systems
3752,CA5010010,1,1,0,1,0,1,1,0,1,0,"MODESTO, CITY OF",CWS,SW,SWP,218771,70586,carceral_serving_water_system
3753,CA5010013,0,0,0,1,1,0,0,0,1,1,CITY OF NEWMAN-WATER DEPARTMENT,CWS,GW,GW,12351,3792,other_water_systems
3754,CA5010014,1,1,0,1,0,1,1,0,1,0,"OAKDALE, CITY OF",CWS,GW,GW,23235,8335,other_water_systems
3755,CA5010017,0,0,0,0,0,0,0,0,0,0,"PATTERSON, CITY OF",CWS,GW,GW,23304,7109,other_water_systems
3756,CA5010018,1,1,1,0,0,1,1,1,0,0,"RIVERBANK, CITY OF",CWS,GW,GW,24834,7191,other_water_systems
3757,CA5010019,12,12,12,0,0,1,1,1,0,0,"TURLOCK, CITY OF",CWS,SW,SWP,72682,19332,other_water_systems
3758,CA5010021,1,1,1,0,0,1,1,1,0,0,DENAIR COMMUNITY SERVICES DISTRICT,CWS,GW,GW,5078,1709,other_water_systems
3759,CA5010023,0,0,0,0,0,0,0,0,0,0,CITY OF MODESTO - SOUTH TURLOCK,CWS,GW,GW,1099,333,other_water_systems
3760,CA5010026,0,0,0,0,0,0,0,0,0,0,WATERFORD - HICKMAN,CWS,GW,GW,597,183,other_water_systems
3761,CA5010028,21,21,20,1,0,1,1,1,1,0,"CERES, CITY OF",CWS,SW,SWP,54513,11881,other_water_systems
3762,CA5010029,0,0,0,0,0,0,0,0,0,0,CITY OF MODESTO - DEL RIO,CWS,GW,GW,1327,407,other_water_systems
3763,CA5010031,0,0,0,0,0,0,0,0,0,0,CITY OF MODESTO - WALNUT MANOR,CWS,GW,GW,175,53,other_water_systems
